Webpage,Coreconfig,Govconfig,Core,Counter,Value
amazon,AllSmall,ii,0,0x08,1877179724.0
amazon,AllSmall,ii,0,0x19,3316588781.0
amazon,AllSmall,ii,0,0x1d,4019394781.0
amazon,AllSmall,ii,0,0x17,573694109.0
amazon,AllSmall,ii,1,0x08,400280306.0
amazon,AllSmall,ii,1,0x19,3380025268.0
amazon,AllSmall,ii,1,0x1d,2055804765.0
amazon,AllSmall,ii,1,0x17,590915162.0
amazon,AllSmall,ii,2,0x08,1887066464.0
amazon,AllSmall,ii,2,0x19,3331606749.0
amazon,AllSmall,ii,2,0x1d,3399387117.0
amazon,AllSmall,ii,2,0x17,574600189.0
amazon,AllSmall,ii,3,0x08,3553333868.0
amazon,AllSmall,ii,3,0x19,3343491045.0
amazon,AllSmall,ii,3,0x1d,694377060.0
amazon,AllSmall,ii,3,0x17,582213298.0
amazon,AllSmall,ii,4,0x08,2904523871.0
amazon,AllSmall,ii,4,0x19,568610264.0
amazon,AllSmall,ii,4,0x1d,4263159713.0
amazon,AllSmall,ii,4,0x17,81188261.0
amazon,AllSmall,ii,5,0x08,3805366854.0
amazon,AllSmall,ii,5,0x19,1189994017.0
amazon,AllSmall,ii,5,0x1d,2762176807.0
amazon,AllSmall,ii,5,0x17,185852409.0
amazon,AllSmall,ii,6,0x08,1176946016.0
amazon,AllSmall,ii,6,0x19,1564193444.0
amazon,AllSmall,ii,6,0x1d,1580983093.0
amazon,AllSmall,ii,6,0x17,240912664.0
amazon,AllSmall,ii,7,0x08,2835380043.0
amazon,AllSmall,ii,7,0x19,732606077.0
amazon,AllSmall,ii,7,0x1d,4073548333.0
amazon,AllSmall,ii,7,0x17,92919418.0
bbc,AllSmall,ii,0,0x08,729360259.0
bbc,AllSmall,ii,0,0x19,1050581964.0
bbc,AllSmall,ii,0,0x1d,1861312396.0
bbc,AllSmall,ii,0,0x17,937176110.0
bbc,AllSmall,ii,1,0x08,1237159550.0
bbc,AllSmall,ii,1,0x19,1202004946.0
bbc,AllSmall,ii,1,0x1d,1549756950.0
bbc,AllSmall,ii,1,0x17,971762183.0
bbc,AllSmall,ii,2,0x08,3600752035.0
bbc,AllSmall,ii,2,0x19,1069154203.0
bbc,AllSmall,ii,2,0x1d,3508857549.0
bbc,AllSmall,ii,2,0x17,946819584.0
bbc,AllSmall,ii,3,0x08,435474200.0
bbc,AllSmall,ii,3,0x19,1051499464.0
bbc,AllSmall,ii,3,0x1d,388237403.0
bbc,AllSmall,ii,3,0x17,932644520.0
bbc,AllSmall,ii,4,0x08,1783208070.0
bbc,AllSmall,ii,4,0x19,789499881.0
bbc,AllSmall,ii,4,0x1d,635514224.0
bbc,AllSmall,ii,4,0x17,117067173.0
bbc,AllSmall,ii,5,0x08,4213890352.0
bbc,AllSmall,ii,5,0x19,1765585392.0
bbc,AllSmall,ii,5,0x1d,1931430021.0
bbc,AllSmall,ii,5,0x17,278894029.0
bbc,AllSmall,ii,6,0x08,4157504365.0
bbc,AllSmall,ii,6,0x19,2108002709.0
bbc,AllSmall,ii,6,0x1d,3963230181.0
bbc,AllSmall,ii,6,0x17,327182671.0
bbc,AllSmall,ii,7,0x08,112396347.0
bbc,AllSmall,ii,7,0x19,1085749136.0
bbc,AllSmall,ii,7,0x1d,4169239289.0
