Webpage,Coreconfig,Govconfig,Core,Counter,Value
amazon,AllSmall,ii,0,0x08,2098327670.0
amazon,AllSmall,ii,0,0x19,172358345.0
amazon,AllSmall,ii,0,0x16,160547477.0
amazon,AllSmall,ii,0,0x17,29843081.0
amazon,AllSmall,ii,1,0x08,2563969074.0
amazon,AllSmall,ii,1,0x19,187553129.0
amazon,AllSmall,ii,1,0x16,194752980.0
amazon,AllSmall,ii,1,0x17,32796790.0
amazon,AllSmall,ii,2,0x08,2360040555.0
amazon,AllSmall,ii,2,0x19,185478654.0
amazon,AllSmall,ii,2,0x16,183469806.0
amazon,AllSmall,ii,2,0x17,31883620.0
amazon,AllSmall,ii,3,0x08,2468404461.0
amazon,AllSmall,ii,3,0x19,182730005.0
amazon,AllSmall,ii,3,0x16,195667745.0
amazon,AllSmall,ii,3,0x17,32265384.0
amazon,AllSmall,ii,4,0x08,2609034580.0
amazon,AllSmall,ii,4,0x19,62124112.0
amazon,AllSmall,ii,4,0x16,125038020.0
amazon,AllSmall,ii,4,0x17,10057285.0
amazon,AllSmall,ii,5,0x08,3677481549.0
amazon,AllSmall,ii,5,0x19,73220647.0
amazon,AllSmall,ii,5,0x16,235333551.0
amazon,AllSmall,ii,5,0x17,12071836.0
amazon,AllSmall,ii,6,0x08,3110935140.0
amazon,AllSmall,ii,6,0x19,107611041.0
amazon,AllSmall,ii,6,0x16,197857025.0
amazon,AllSmall,ii,6,0x17,16941282.0
amazon,AllSmall,ii,7,0x08,2104561453.0
amazon,AllSmall,ii,7,0x19,75597117.0
amazon,AllSmall,ii,7,0x16,143337795.0
amazon,AllSmall,ii,7,0x17,10809458.0
bbc,AllSmall,ii,0,0x08,3732613757.0
bbc,AllSmall,ii,0,0x19,276633251.0
bbc,AllSmall,ii,0,0x16,263601687.0
bbc,AllSmall,ii,0,0x17,48176224.0
bbc,AllSmall,ii,1,0x08,387121480.0
bbc,AllSmall,ii,1,0x19,299813691.0
bbc,AllSmall,ii,1,0x16,325016272.0
bbc,AllSmall,ii,1,0x17,53289964.0
bbc,AllSmall,ii,2,0x08,3969958840.0
bbc,AllSmall,ii,2,0x19,287197992.0
bbc,AllSmall,ii,2,0x16,295232270.0
bbc,AllSmall,ii,2,0x17,50776482.0
bbc,AllSmall,ii,3,0x08,117624895.0
bbc,AllSmall,ii,3,0x19,289796750.0
bbc,AllSmall,ii,3,0x16,314029519.0
bbc,AllSmall,ii,3,0x17,51650349.0
bbc,AllSmall,ii,4,0x08,3129089564.0
bbc,AllSmall,ii,4,0x19,74640440.0
bbc,AllSmall,ii,4,0x16,184464988.0
bbc,AllSmall,ii,4,0x17,12094861.0
bbc,AllSmall,ii,5,0x08,982531242.0
bbc,AllSmall,ii,5,0x19,106857905.0
bbc,AllSmall,ii,5,0x16,348769639.0
bbc,AllSmall,ii,5,0x17,17400066.0
bbc,AllSmall,ii,6,0x08,3546687121.0
bbc,AllSmall,ii,6,0x19,149550708.0
bbc,AllSmall,ii,6,0x16,230474440.0
bbc,AllSmall,ii,6,0x17,23196113.0
bbc,AllSmall,ii,7,0x08,2297838483.0
bbc,AllSmall,ii,7,0x19,87355757.0
bbc,AllSmall,ii,7,0x16,157535464.0
bbc,AllSmall,ii,7,0x17,12680010.0
cnn,AllSmall,ii,0,0x08,1597337206.0
cnn,AllSmall,ii,0,0x19,378293341.0
cnn,AllSmall,ii,0,0x16,384952360.0
cnn,AllSmall,ii,0,0x17,68701866.0
cnn,AllSmall,ii,1,0x08,1708246672.0
cnn,AllSmall,ii,1,0x19,385397097.0
cnn,AllSmall,ii,1,0x16,407029207.0
cnn,AllSmall,ii,1,0x17,70786351.0
cnn,AllSmall,ii,2,0x08,1903630419.0
cnn,AllSmall,ii,2,0x19,395941030.0
cnn,AllSmall,ii,2,0x16,428420671.0
cnn,AllSmall,ii,2,0x17,73288636.0
cnn,AllSmall,ii,3,0x08,1617358550.0
cnn,AllSmall,ii,3,0x19,392521559.0
cnn,AllSmall,ii,3,0x16,397869016.0
cnn,AllSmall,ii,3,0x17,71386014.0
cnn,AllSmall,ii,4,0x08,4129610788.0
cnn,AllSmall,ii,4,0x19,72129125.0
cnn,AllSmall,ii,4,0x16,174437639.0
cnn,AllSmall,ii,4,0x17,11045220.0
cnn,AllSmall,ii,5,0x08,2466169993.0
cnn,AllSmall,ii,5,0x19,100651595.0
cnn,AllSmall,ii,5,0x16,365947948.0
cnn,AllSmall,ii,5,0x17,16625128.0
cnn,AllSmall,ii,6,0x08,2639383675.0
cnn,AllSmall,ii,6,0x19,130250255.0
cnn,AllSmall,ii,6,0x16,374702087.0
cnn,AllSmall,ii,6,0x17,21498195.0
cnn,AllSmall,ii,7,0x08,3953640964.0
cnn,AllSmall,ii,7,0x19,90858125.0
cnn,AllSmall,ii,7,0x16,160323422.0
cnn,AllSmall,ii,7,0x17,13673893.0
craigslist,AllSmall,ii,0,0x08,1951749752.0
craigslist,AllSmall,ii,0,0x19,127384317.0
craigslist,AllSmall,ii,0,0x16,165736732.0
craigslist,AllSmall,ii,0,0x17,22309111.0
craigslist,AllSmall,ii,1,0x08,1731221681.0
craigslist,AllSmall,ii,1,0x19,135049034.0
craigslist,AllSmall,ii,1,0x16,139942524.0
craigslist,AllSmall,ii,1,0x17,22335978.0
craigslist,AllSmall,ii,2,0x08,2063707123.0
craigslist,AllSmall,ii,2,0x19,136645658.0
craigslist,AllSmall,ii,2,0x16,167674982.0
craigslist,AllSmall,ii,2,0x17,23406924.0
craigslist,AllSmall,ii,3,0x08,1834302821.0
craigslist,AllSmall,ii,3,0x19,136993718.0
craigslist,AllSmall,ii,3,0x16,152244650.0
craigslist,AllSmall,ii,3,0x17,22704619.0
craigslist,AllSmall,ii,4,0x08,2077791278.0
craigslist,AllSmall,ii,4,0x19,56217036.0
craigslist,AllSmall,ii,4,0x16,117506081.0
craigslist,AllSmall,ii,4,0x17,8632607.0
craigslist,AllSmall,ii,5,0x08,3321446453.0
craigslist,AllSmall,ii,5,0x19,162525437.0
craigslist,AllSmall,ii,5,0x16,229132847.0
craigslist,AllSmall,ii,5,0x17,25461740.0
craigslist,AllSmall,ii,6,0x08,4120818111.0
craigslist,AllSmall,ii,6,0x19,81164971.0
craigslist,AllSmall,ii,6,0x16,237432362.0
craigslist,AllSmall,ii,6,0x17,13823431.0
craigslist,AllSmall,ii,7,0x08,1847566566.0
craigslist,AllSmall,ii,7,0x19,66158337.0
craigslist,AllSmall,ii,7,0x16,124459781.0
craigslist,AllSmall,ii,7,0x17,9322489.0
ebay,AllSmall,ii,0,0x08,102090275.0
ebay,AllSmall,ii,0,0x19,335400317.0
ebay,AllSmall,ii,0,0x16,347415422.0
ebay,AllSmall,ii,0,0x17,59377296.0
ebay,AllSmall,ii,1,0x08,4266265176.0
ebay,AllSmall,ii,1,0x19,312568911.0
ebay,AllSmall,ii,1,0x16,342870473.0
ebay,AllSmall,ii,1,0x17,56342316.0
ebay,AllSmall,ii,2,0x08,4088688125.0
ebay,AllSmall,ii,2,0x19,313302527.0
ebay,AllSmall,ii,2,0x16,320655068.0
ebay,AllSmall,ii,2,0x17,54276989.0
ebay,AllSmall,ii,3,0x08,89792482.0
ebay,AllSmall,ii,3,0x19,327179824.0
ebay,AllSmall,ii,3,0x16,347833326.0
ebay,AllSmall,ii,3,0x17,58266926.0
ebay,AllSmall,ii,4,0x08,2854443586.0
ebay,AllSmall,ii,4,0x19,75606457.0
ebay,AllSmall,ii,4,0x16,187910237.0
ebay,AllSmall,ii,4,0x17,11886715.0
ebay,AllSmall,ii,5,0x08,1692713071.0
