Webpage,Coreconfig,Govconfig,loadTime,energy
amazon,AllSmall,ii,578.0,1417.1820037162497
amazon,AllSmall,ii,601.0,1336.8328555107814
amazon,AllSmall,ii,575.0,1063.1411571068543
amazon,AllSmall,ii,598.0,794.5743084167958
amazon,AllSmall,ii,604.0,2051.685977807549
amazon,AllSmall,ii,595.0,2168.6489680226796
amazon,AllSmall,ii,545.0,896.0758671087801
amazon,AllSmall,ii,558.0,1374.6455695383006
amazon,AllSmall,ii,590.0,768.0932946714325
amazon,AllSmall,ii,592.0,947.7069388233441
amazon,AllSmall,ii,576.0,867.301658888205
amazon,AllSmall,ii,553.0,1088.1254717399997
amazon,AllSmall,ii,591.0,1004.8673205227855
amazon,AllSmall,ii,559.0,1130.9227929931371
amazon,AllSmall,ii,576.0,776.7551581499999
amazon,AllSmall,ii,553.0,1046.2188581297437
amazon,AllSmall,ii,591.0,829.8514893315033
amazon,AllSmall,ii,578.0,820.3728398084954
amazon,AllSmall,ii,574.0,1008.8772599951831
amazon,AllSmall,ii,546.0,1139.2821035832012
amazon,AllSmall,ii,559.0,1139.2705362064855
amazon,AllSmall,ii,570.0,1086.1731488409523
amazon,AllSmall,ii,571.0,1071.1791366176983
amazon,AllSmall,ii,517.0,1070.4270620304756
amazon,AllSmall,ii,550.0,715.4585877644118
amazon,AllSmall,ii,573.0,809.0281578900001
amazon,AllSmall,ii,557.0,989.1103731123076
amazon,AllSmall,ii,593.0,1020.5383829414151
amazon,AllSmall,ii,590.0,1008.691062273522
amazon,AllSmall,ii,570.0,833.8681188705372
amazon,AllSmall,ii,567.0,859.6218496978408
amazon,AllSmall,ii,586.0,1120.9162293833335
amazon,AllSmall,ii,563.0,844.8959046444445
amazon,AllSmall,ii,587.0,869.7573032447712
amazon,AllSmall,ii,574.0,958.3292588519267
amazon,AllSmall,ii,565.0,1121.3670414399357
amazon,AllSmall,ii,589.0,1277.3819131654009
amazon,AllSmall,ii,610.0,786.1331447587448
amazon,AllSmall,ii,540.0,1010.5578690048367
amazon,AllSmall,ii,581.0,886.7061145010709
amazon,AllSmall,ii,538.0,1375.5036392752713
amazon,AllSmall,ii,554.0,931.5372263961812
amazon,AllSmall,ii,580.0,980.6916605889082
amazon,AllSmall,ii,549.0,996.2256290262419
