pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
23032,(chromium-browse),1573227375715,4,5,4,5,1269345379
23039,(ThreadPoolServi),1573227375715,0,0,0,0,1269345379
23040,(ThreadPoolForeg),1573227375715,0,0,0,0,1269345379
23041,(Chrome_ChildIOT),1573227375715,0,1,0,1,1269345379
23042,(GpuMemoryThread),1573227375715,0,0,0,0,1269345379
23046,(ThreadPoolForeg),1573227375715,0,0,0,0,1269345379
23050,(Compositor),1573227375715,0,0,0,0,1269345379
23051,(CompositorTileW),1573227375715,0,0,0,0,1269345379
23052,(CompositorTileW),1573227375715,0,0,0,0,1269345379
23053,(CompositorTileW),1573227375715,0,0,0,0,1269345379
23054,(CompositorTileW),1573227375715,0,0,0,0,1269345379
23055,(CompositorTileW),1573227375715,0,0,0,0,1269345379
23032,(chromium-browse),1573227375717,4,5,0,0,2
23039,(ThreadPoolServi),1573227375717,0,0,0,0,2
23040,(ThreadPoolForeg),1573227375717,0,0,0,0,2
23041,(Chrome_ChildIOT),1573227375717,0,1,0,0,2
23042,(GpuMemoryThread),1573227375717,0,0,0,0,2
23046,(ThreadPoolForeg),1573227375717,0,0,0,0,2
23050,(Compositor),1573227375717,0,0,0,0,2
23051,(CompositorTileW),1573227375717,0,0,0,0,2
23052,(CompositorTileW),1573227375717,0,0,0,0,2
23053,(CompositorTileW),1573227375717,0,0,0,0,2
23054,(CompositorTileW),1573227375717,0,0,0,0,2
23055,(CompositorTileW),1573227375717,0,0,0,0,2
23032,(chromium-browse),1573227375719,4,5,0,0,2
23039,(ThreadPoolServi),1573227375719,0,0,0,0,2
23040,(ThreadPoolForeg),1573227375719,0,0,0,0,2
23041,(Chrome_ChildIOT),1573227375719,0,1,0,0,2
23042,(GpuMemoryThread),1573227375719,0,0,0,0,2
23046,(ThreadPoolForeg),1573227375719,0,0,0,0,2
23050,(Compositor),1573227375719,0,0,0,0,2
23051,(CompositorTileW),1573227375719,0,0,0,0,2
23052,(CompositorTileW),1573227375719,0,0,0,0,2
23053,(CompositorTileW),1573227375719,0,0,0,0,2
23054,(CompositorTileW),1573227375719,0,0,0,0,2
23055,(CompositorTileW),1573227375719,0,0,0,0,2
23032,(chromium-browse),1573227375720,4,5,0,0,1
23039,(ThreadPoolServi),1573227375720,0,0,0,0,1
23040,(ThreadPoolForeg),1573227375720,0,0,0,0,1
23041,(Chrome_ChildIOT),1573227375720,0,1,0,0,1
23042,(GpuMemoryThread),1573227375720,0,0,0,0,1
