pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
21658,(chromium-browse),1572824916497,114,58,114,58,866886161
21669,(chromium-browse),1572824916497,4,9,4,9,866886161
21673,(chromium-browse),1572824916497,0,1,0,1,866886161
21703,(chromium-browse),1572824916497,25,19,25,19,866886161
21715,(chromium-browse),1572824916497,12,14,12,14,866886161
21764,(chromium-browse),1572824916497,3,5,3,5,866886161
21767,(chromium-browse),1572824916497,10,10,10,10,866886161
21793,(chromium-browse),1572824916497,5,4,5,4,866886161
21658,(chromium-browse),1572824916499,114,58,0,0,2
21669,(chromium-browse),1572824916499,4,9,0,0,2
21673,(chromium-browse),1572824916499,0,1,0,0,2
21703,(chromium-browse),1572824916499,25,19,0,0,2
21715,(chromium-browse),1572824916499,12,14,0,0,2
21764,(chromium-browse),1572824916499,3,5,0,0,2
21767,(chromium-browse),1572824916499,10,10,0,0,2
21793,(chromium-browse),1572824916499,5,4,0,0,2
21658,(chromium-browse),1572824916501,114,58,0,0,2
21669,(chromium-browse),1572824916501,4,9,0,0,2
21673,(chromium-browse),1572824916501,0,1,0,0,2
21703,(chromium-browse),1572824916501,25,19,0,0,2
21715,(chromium-browse),1572824916501,12,14,0,0,2
21764,(chromium-browse),1572824916501,3,5,0,0,2
21767,(chromium-browse),1572824916501,10,10,0,0,2
21793,(chromium-browse),1572824916501,5,4,0,0,2
21658,(chromium-browse),1572824916502,114,58,0,0,1
21669,(chromium-browse),1572824916502,4,9,0,0,1
21673,(chromium-browse),1572824916502,0,1,0,0,1
21703,(chromium-browse),1572824916502,25,19,0,0,1
21715,(chromium-browse),1572824916502,12,14,0,0,1
21764,(chromium-browse),1572824916502,3,5,0,0,1
21767,(chromium-browse),1572824916502,10,10,0,0,1
21793,(chromium-browse),1572824916502,5,4,0,0,1
21658,(chromium-browse),1572824916504,114,58,0,0,2
21669,(chromium-browse),1572824916504,4,9,0,0,2
21673,(chromium-browse),1572824916504,0,1,0,0,2
21703,(chromium-browse),1572824916504,25,20,0,1,2
21715,(chromium-browse),1572824916504,12,14,0,0,2
21764,(chromium-browse),1572824916504,3,5,0,0,2
21767,(chromium-browse),1572824916504,10,10,0,0,2
21793,(chromium-browse),1572824916504,5,4,0,0,2
21658,(chromium-browse),1572824916505,114,58,0,0,1
21669,(chromium-browse),1572824916505,4,9,0,0,1
21673,(chromium-browse),1572824916505,0,1,0,0,1
21703,(chromium-browse),1572824916505,25,20,0,0,1
21715,(chromium-browse),1572824916505,12,14,0,0,1
21764,(chromium-browse),1572824916505,3,5,0,0,1
21767,(chromium-browse),1572824916505,10,10,0,0,1
21793,(chromium-browse),1572824916505,5,5,0,1,1
21658,(chromium-browse),1572824916507,115,58,1,0,2
21669,(chromium-browse),1572824916507,4,9,0,0,2
21673,(chromium-browse),1572824916507,0,1,0,0,2
21703,(chromium-browse),1572824916507,25,20,0,0,2
21715,(chromium-browse),1572824916507,12,14,0,0,2
21764,(chromium-browse),1572824916507,3,5,0,0,2
21767,(chromium-browse),1572824916507,10,10,0,0,2
21793,(chromium-browse),1572824916507,5,5,0,0,2
21658,(chromium-browse),1572824916508,115,58,0,0,1
21669,(chromium-browse),1572824916508,4,9,0,0,1
21673,(chromium-browse),1572824916508,0,1,0,0,1
21703,(chromium-browse),1572824916508,25,20,0,0,1
21715,(chromium-browse),1572824916508,12,14,0,0,1
21764,(chromium-browse),1572824916508,3,5,0,0,1
21767,(chromium-browse),1572824916508,10,10,0,0,1
21793,(chromium-browse),1572824916508,5,5,0,0,1
21658,(chromium-browse),1572824916509,115,58,0,0,1
21669,(chromium-browse),1572824916509,4,9,0,0,1
21673,(chromium-browse),1572824916509,0,1,0,0,1
21703,(chromium-browse),1572824916509,25,20,0,0,1
21715,(chromium-browse),1572824916509,12,14,0,0,1
21764,(chromium-browse),1572824916509,3,5,0,0,1
21767,(chromium-browse),1572824916509,10,10,0,0,1
21793,(chromium-browse),1572824916509,5,5,0,0,1
21658,(chromium-browse),1572824916511,115,58,0,0,2
21669,(chromium-browse),1572824916511,4,9,0,0,2
21673,(chromium-browse),1572824916511,0,1,0,0,2
21703,(chromium-browse),1572824916511,25,20,0,0,2
21715,(chromium-browse),1572824916511,12,14,0,0,2
21764,(chromium-browse),1572824916511,3,5,0,0,2
21767,(chromium-browse),1572824916511,10,10,0,0,2
21793,(chromium-browse),1572824916511,5,5,0,0,2
21658,(chromium-browse),1572824916512,116,58,1,0,1
21669,(chromium-browse),1572824916512,4,9,0,0,1
21673,(chromium-browse),1572824916512,0,1,0,0,1
21703,(chromium-browse),1572824916512,25,20,0,0,1
21715,(chromium-browse),1572824916512,12,14,0,0,1
21764,(chromium-browse),1572824916512,3,5,0,0,1
21767,(chromium-browse),1572824916512,10,10,0,0,1
21793,(chromium-browse),1572824916512,5,5,0,0,1
21658,(chromium-browse),1572824916514,116,58,0,0,2
21669,(chromium-browse),1572824916514,4,9,0,0,2
21673,(chromium-browse),1572824916514,0,1,0,0,2
21703,(chromium-browse),1572824916514,25,20,0,0,2
21715,(chromium-browse),1572824916514,12,14,0,0,2
21764,(chromium-browse),1572824916514,3,5,0,0,2
21767,(chromium-browse),1572824916514,10,10,0,0,2
21793,(chromium-browse),1572824916514,6,5,1,0,2
21658,(chromium-browse),1572824916515,116,59,0,1,1
21669,(chromium-browse),1572824916515,4,9,0,0,1
21673,(chromium-browse),1572824916515,0,1,0,0,1
21703,(chromium-browse),1572824916515,25,20,0,0,1
21715,(chromium-browse),1572824916515,12,14,0,0,1
21764,(chromium-browse),1572824916515,3,5,0,0,1
21767,(chromium-browse),1572824916515,11,10,1,0,1
21793,(chromium-browse),1572824916515,6,5,0,0,1
21658,(chromium-browse),1572824916517,116,59,0,0,2
21669,(chromium-browse),1572824916517,4,9,0,0,2
21673,(chromium-browse),1572824916517,0,1,0,0,2
21703,(chromium-browse),1572824916517,25,20,0,0,2
21715,(chromium-browse),1572824916517,13,14,1,0,2
21764,(chromium-browse),1572824916517,3,5,0,0,2
21767,(chromium-browse),1572824916517,11,10,0,0,2
21793,(chromium-browse),1572824916517,6,5,0,0,2
21658,(chromium-browse),1572824916518,116,59,0,0,1
21669,(chromium-browse),1572824916518,4,9,0,0,1
21673,(chromium-browse),1572824916518,0,1,0,0,1
21703,(chromium-browse),1572824916518,25,20,0,0,1
21715,(chromium-browse),1572824916518,13,14,0,0,1
21764,(chromium-browse),1572824916518,3,5,0,0,1
21767,(chromium-browse),1572824916518,11,10,0,0,1
21793,(chromium-browse),1572824916518,6,5,0,0,1
21658,(chromium-browse),1572824916520,116,59,0,0,2
21669,(chromium-browse),1572824916520,4,9,0,0,2
21673,(chromium-browse),1572824916520,0,1,0,0,2
21703,(chromium-browse),1572824916520,25,20,0,0,2
21715,(chromium-browse),1572824916520,13,14,0,0,2
21764,(chromium-browse),1572824916520,3,5,0,0,2
21767,(chromium-browse),1572824916520,11,10,0,0,2
21793,(chromium-browse),1572824916520,6,5,0,0,2
21658,(chromium-browse),1572824916521,117,59,1,0,1
21669,(chromium-browse),1572824916521,4,9,0,0,1
21673,(chromium-browse),1572824916521,0,1,0,0,1
21703,(chromium-browse),1572824916521,25,20,0,0,1
21715,(chromium-browse),1572824916521,13,14,0,0,1
21764,(chromium-browse),1572824916521,3,5,0,0,1
21767,(chromium-browse),1572824916521,11,10,0,0,1
21793,(chromium-browse),1572824916521,7,5,1,0,1
21658,(chromium-browse),1572824916523,117,59,0,0,2
21669,(chromium-browse),1572824916523,4,9,0,0,2
21673,(chromium-browse),1572824916523,0,1,0,0,2
21703,(chromium-browse),1572824916523,25,20,0,0,2
21715,(chromium-browse),1572824916523,13,14,0,0,2
21764,(chromium-browse),1572824916523,3,5,0,0,2
21767,(chromium-browse),1572824916523,11,10,0,0,2
21793,(chromium-browse),1572824916523,7,5,0,0,2
21658,(chromium-browse),1572824916524,117,59,0,0,1
21669,(chromium-browse),1572824916524,4,9,0,0,1
21673,(chromium-browse),1572824916524,0,1,0,0,1
21703,(chromium-browse),1572824916524,25,20,0,0,1
21715,(chromium-browse),1572824916524,13,14,0,0,1
21764,(chromium-browse),1572824916524,3,5,0,0,1
21767,(chromium-browse),1572824916524,11,10,0,0,1
21793,(chromium-browse),1572824916524,7,5,0,0,1
21658,(chromium-browse),1572824916526,117,59,0,0,2
21669,(chromium-browse),1572824916526,4,9,0,0,2
21673,(chromium-browse),1572824916526,0,1,0,0,2
21703,(chromium-browse),1572824916526,25,20,0,0,2
