pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
22760,(chromium-browse),1573227318596,4,2,4,2,1269288260
22765,(ThreadPoolServi),1573227318596,0,0,0,0,1269288260
22766,(ThreadPoolForeg),1573227318596,0,0,0,0,1269288260
22767,(Chrome_ChildIOT),1573227318596,0,1,0,1,1269288260
22770,(GpuMemoryThread),1573227318596,0,0,0,0,1269288260
22771,(ThreadPoolForeg),1573227318596,0,0,0,0,1269288260
22774,(Compositor),1573227318596,0,0,0,0,1269288260
22780,(CompositorTileW),1573227318596,0,0,0,0,1269288260
22781,(CompositorTileW),1573227318596,0,0,0,0,1269288260
22782,(CompositorTileW),1573227318596,0,0,0,0,1269288260
22783,(CompositorTileW),1573227318596,0,0,0,0,1269288260
22784,(CompositorTileW),1573227318596,0,0,0,0,1269288260
22760,(chromium-browse),1573227318598,4,2,0,0,2
22765,(ThreadPoolServi),1573227318598,0,0,0,0,2
22766,(ThreadPoolForeg),1573227318598,0,0,0,0,2
22767,(Chrome_ChildIOT),1573227318598,0,1,0,0,2
22770,(GpuMemoryThread),1573227318598,0,0,0,0,2
22771,(ThreadPoolForeg),1573227318598,0,0,0,0,2
22774,(Compositor),1573227318598,0,0,0,0,2
22780,(CompositorTileW),1573227318598,0,0,0,0,2
22781,(CompositorTileW),1573227318598,0,0,0,0,2
22782,(CompositorTileW),1573227318598,0,0,0,0,2
22783,(CompositorTileW),1573227318598,0,0,0,0,2
22784,(CompositorTileW),1573227318598,0,0,0,0,2
22760,(chromium-browse),1573227318599,4,2,0,0,1
22765,(ThreadPoolServi),1573227318599,0,0,0,0,1
22766,(ThreadPoolForeg),1573227318599,0,0,0,0,1
22767,(Chrome_ChildIOT),1573227318599,0,1,0,0,1
22770,(GpuMemoryThread),1573227318599,0,0,0,0,1
22771,(ThreadPoolForeg),1573227318599,0,0,0,0,1
22774,(Compositor),1573227318599,0,0,0,0,1
22780,(CompositorTileW),1573227318599,0,0,0,0,1
22781,(CompositorTileW),1573227318599,0,0,0,0,1
22782,(CompositorTileW),1573227318599,0,0,0,0,1
22783,(CompositorTileW),1573227318599,0,0,0,0,1
22784,(CompositorTileW),1573227318599,0,0,0,0,1
22760,(chromium-browse),1573227318600,4,2,0,0,1
22765,(ThreadPoolServi),1573227318600,0,0,0,0,1
22766,(ThreadPoolForeg),1573227318600,0,0,0,0,1
22767,(Chrome_ChildIOT),1573227318600,0,1,0,0,1
22770,(GpuMemoryThread),1573227318600,0,0,0,0,1
22771,(ThreadPoolForeg),1573227318600,0,0,0,0,1
22774,(Compositor),1573227318600,0,0,0,0,1
22780,(CompositorTileW),1573227318600,0,0,0,0,1
22781,(CompositorTileW),1573227318600,0,0,0,0,1
22782,(CompositorTileW),1573227318600,0,0,0,0,1
22783,(CompositorTileW),1573227318600,0,0,0,0,1
22784,(CompositorTileW),1573227318600,0,0,0,0,1
22760,(chromium-browse),1573227318601,4,2,0,0,1
22765,(ThreadPoolServi),1573227318601,0,0,0,0,1
22766,(ThreadPoolForeg),1573227318601,0,0,0,0,1
22767,(Chrome_ChildIOT),1573227318601,0,1,0,0,1
22770,(GpuMemoryThread),1573227318601,0,0,0,0,1
22771,(ThreadPoolForeg),1573227318601,0,0,0,0,1
22774,(Compositor),1573227318601,0,0,0,0,1
22780,(CompositorTileW),1573227318601,0,0,0,0,1
22781,(CompositorTileW),1573227318601,0,0,0,0,1
22782,(CompositorTileW),1573227318601,0,0,0,0,1
22783,(CompositorTileW),1573227318601,0,0,0,0,1
22784,(CompositorTileW),1573227318601,0,0,0,0,1
22760,(chromium-browse),1573227318603,4,2,0,0,2
22765,(ThreadPoolServi),1573227318603,0,0,0,0,2
22766,(ThreadPoolForeg),1573227318603,0,0,0,0,2
22767,(Chrome_ChildIOT),1573227318603,0,1,0,0,2
22770,(GpuMemoryThread),1573227318603,0,0,0,0,2
22771,(ThreadPoolForeg),1573227318603,0,0,0,0,2
22774,(Compositor),1573227318603,0,0,0,0,2
22780,(CompositorTileW),1573227318603,0,0,0,0,2
22781,(CompositorTileW),1573227318603,0,0,0,0,2
22782,(CompositorTileW),1573227318603,0,0,0,0,2
22783,(CompositorTileW),1573227318603,0,0,0,0,2
22784,(CompositorTileW),1573227318603,0,0,0,0,2
22760,(chromium-browse),1573227318604,4,2,0,0,1
