pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
22508,(chromium-browse),1572838010313,103,60,103,60,879979977
22519,(chromium-browse),1572838010313,4,8,4,8,879979977
22523,(chromium-browse),1572838010313,0,1,0,1,879979977
22555,(chromium-browse),1572838010313,27,20,27,20,879979977
22563,(chromium-browse),1572838010313,15,12,15,12,879979977
22611,(chromium-browse),1572838010313,5,3,5,3,879979977
22616,(chromium-browse),1572838010313,9,8,9,8,879979977
22643,(chromium-browse),1572838010313,3,4,3,4,879979977
22508,(chromium-browse),1572838010315,103,60,0,0,2
22519,(chromium-browse),1572838010315,4,8,0,0,2
22523,(chromium-browse),1572838010315,0,1,0,0,2
22555,(chromium-browse),1572838010315,27,20,0,0,2
22563,(chromium-browse),1572838010315,15,12,0,0,2
22611,(chromium-browse),1572838010315,5,3,0,0,2
22616,(chromium-browse),1572838010315,9,8,0,0,2
22643,(chromium-browse),1572838010315,3,4,0,0,2
22508,(chromium-browse),1572838010317,103,61,0,1,2
22519,(chromium-browse),1572838010317,4,8,0,0,2
22523,(chromium-browse),1572838010317,0,1,0,0,2
22555,(chromium-browse),1572838010317,27,20,0,0,2
22563,(chromium-browse),1572838010317,15,12,0,0,2
22611,(chromium-browse),1572838010317,5,3,0,0,2
22616,(chromium-browse),1572838010317,9,8,0,0,2
22643,(chromium-browse),1572838010317,4,4,1,0,2
22508,(chromium-browse),1572838010318,103,61,0,0,1
22519,(chromium-browse),1572838010318,4,8,0,0,1
22523,(chromium-browse),1572838010318,0,1,0,0,1
22555,(chromium-browse),1572838010318,27,21,0,1,1
22563,(chromium-browse),1572838010318,15,12,0,0,1
22611,(chromium-browse),1572838010318,5,3,0,0,1
22616,(chromium-browse),1572838010318,9,8,0,0,1
22643,(chromium-browse),1572838010318,4,4,0,0,1
22508,(chromium-browse),1572838010320,103,61,0,0,2
22519,(chromium-browse),1572838010320,4,8,0,0,2
22523,(chromium-browse),1572838010320,0,1,0,0,2
22555,(chromium-browse),1572838010320,27,21,0,0,2
