pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
22441,(chromium-browse),1573227253916,4,3,4,3,1269223580
22447,(ThreadPoolServi),1573227253916,0,0,0,0,1269223580
22448,(ThreadPoolForeg),1573227253916,0,0,0,0,1269223580
22449,(Chrome_ChildIOT),1573227253916,1,0,1,0,1269223580
22451,(GpuMemoryThread),1573227253916,0,0,0,0,1269223580
22455,(ThreadPoolForeg),1573227253916,0,0,0,0,1269223580
22459,(Compositor),1573227253916,0,0,0,0,1269223580
22465,(CompositorTileW),1573227253916,0,0,0,0,1269223580
22466,(CompositorTileW),1573227253916,0,0,0,0,1269223580
22467,(CompositorTileW),1573227253916,0,0,0,0,1269223580
22468,(CompositorTileW),1573227253916,0,0,0,0,1269223580
22469,(CompositorTileW),1573227253916,0,0,0,0,1269223580
22441,(chromium-browse),1573227253919,4,3,0,0,3
22447,(ThreadPoolServi),1573227253919,0,0,0,0,3
22448,(ThreadPoolForeg),1573227253919,0,0,0,0,3
22449,(Chrome_ChildIOT),1573227253919,1,0,0,0,3
22451,(GpuMemoryThread),1573227253919,0,0,0,0,3
22455,(ThreadPoolForeg),1573227253919,0,0,0,0,3
22459,(Compositor),1573227253919,0,0,0,0,3
22465,(CompositorTileW),1573227253919,0,0,0,0,3
22466,(CompositorTileW),1573227253919,0,0,0,0,3
22467,(CompositorTileW),1573227253919,0,0,0,0,3
22468,(CompositorTileW),1573227253919,0,0,0,0,3
22469,(CompositorTileW),1573227253919,0,0,0,0,3
22441,(chromium-browse),1573227253921,4,3,0,0,2
22447,(ThreadPoolServi),1573227253921,0,0,0,0,2
22448,(ThreadPoolForeg),1573227253921,0,0,0,0,2
22449,(Chrome_ChildIOT),1573227253921,1,0,0,0,2
22451,(GpuMemoryThread),1573227253921,0,0,0,0,2
22455,(ThreadPoolForeg),1573227253921,0,0,0,0,2
22459,(Compositor),1573227253921,0,0,0,0,2
22465,(CompositorTileW),1573227253921,0,0,0,0,2
22466,(CompositorTileW),1573227253921,0,0,0,0,2
22467,(CompositorTileW),1573227253921,0,0,0,0,2
22468,(CompositorTileW),1573227253921,0,0,0,0,2
22469,(CompositorTileW),1573227253921,0,0,0,0,2
22441,(chromium-browse),1573227253922,4,3,0,0,1
22447,(ThreadPoolServi),1573227253922,0,0,0,0,1
22448,(ThreadPoolForeg),1573227253922,0,0,0,0,1
22449,(Chrome_ChildIOT),1573227253922,1,0,0,0,1
22451,(GpuMemoryThread),1573227253922,0,0,0,0,1
22455,(ThreadPoolForeg),1573227253922,0,0,0,0,1
22459,(Compositor),1573227253922,0,0,0,0,1
22465,(CompositorTileW),1573227253922,0,0,0,0,1
