pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
22165,(chromium-browse),1573227160880,4,2,4,2,1269130544
22171,(ThreadPoolServi),1573227160880,0,0,0,0,1269130544
22172,(ThreadPoolForeg),1573227160880,0,0,0,0,1269130544
22173,(Chrome_ChildIOT),1573227160880,1,0,1,0,1269130544
22174,(GpuMemoryThread),1573227160880,0,0,0,0,1269130544
22175,(ThreadPoolForeg),1573227160880,0,0,0,0,1269130544
22182,(Compositor),1573227160880,0,0,0,0,1269130544
22183,(CompositorTileW),1573227160880,0,0,0,0,1269130544
22184,(CompositorTileW),1573227160880,0,0,0,0,1269130544
22185,(CompositorTileW),1573227160880,0,0,0,0,1269130544
22186,(CompositorTileW),1573227160880,0,0,0,0,1269130544
22187,(CompositorTileW),1573227160880,0,0,0,0,1269130544
22165,(chromium-browse),1573227160882,4,2,0,0,2
22171,(ThreadPoolServi),1573227160882,0,0,0,0,2
22172,(ThreadPoolForeg),1573227160882,0,0,0,0,2
22173,(Chrome_ChildIOT),1573227160882,1,0,0,0,2
22174,(GpuMemoryThread),1573227160882,0,0,0,0,2
22175,(ThreadPoolForeg),1573227160882,0,0,0,0,2
22182,(Compositor),1573227160882,0,0,0,0,2
22183,(CompositorTileW),1573227160882,0,0,0,0,2
22184,(CompositorTileW),1573227160882,0,0,0,0,2
22185,(CompositorTileW),1573227160882,0,0,0,0,2
22186,(CompositorTileW),1573227160882,0,0,0,0,2
22187,(CompositorTileW),1573227160882,0,0,0,0,2
22165,(chromium-browse),1573227160883,4,2,0,0,1
22171,(ThreadPoolServi),1573227160883,0,0,0,0,1
22172,(ThreadPoolForeg),1573227160883,0,0,0,0,1
22173,(Chrome_ChildIOT),1573227160883,1,0,0,0,1
22174,(GpuMemoryThread),1573227160883,0,0,0,0,1
22175,(ThreadPoolForeg),1573227160883,0,0,0,0,1
22182,(Compositor),1573227160883,0,0,0,0,1
22183,(CompositorTileW),1573227160883,0,0,0,0,1
22184,(CompositorTileW),1573227160883,0,0,0,0,1
22185,(CompositorTileW),1573227160883,0,0,0,0,1
22186,(CompositorTileW),1573227160883,0,0,0,0,1
22187,(CompositorTileW),1573227160883,0,0,0,0,1
22165,(chromium-browse),1573227160884,4,2,0,0,1
22171,(ThreadPoolServi),1573227160884,0,0,0,0,1
22172,(ThreadPoolForeg),1573227160884,0,0,0,0,1
22173,(Chrome_ChildIOT),1573227160884,1,0,0,0,1
22174,(GpuMemoryThread),1573227160884,0,0,0,0,1
22175,(ThreadPoolForeg),1573227160884,0,0,0,0,1
22182,(Compositor),1573227160884,0,0,0,0,1
22183,(CompositorTileW),1573227160884,0,0,0,0,1
22184,(CompositorTileW),1573227160884,0,0,0,0,1
22185,(CompositorTileW),1573227160884,0,0,0,0,1
22186,(CompositorTileW),1573227160884,0,0,0,0,1
22187,(CompositorTileW),1573227160884,0,0,0,0,1
22165,(chromium-browse),1573227160885,4,2,0,0,1
22171,(ThreadPoolServi),1573227160885,0,0,0,0,1
22172,(ThreadPoolForeg),1573227160885,0,0,0,0,1
22173,(Chrome_ChildIOT),1573227160885,1,0,0,0,1
22174,(GpuMemoryThread),1573227160885,0,0,0,0,1
22175,(ThreadPoolForeg),1573227160885,0,0,0,0,1
22182,(Compositor),1573227160885,0,0,0,0,1
22183,(CompositorTileW),1573227160885,0,0,0,0,1
22184,(CompositorTileW),1573227160885,0,0,0,0,1
22185,(CompositorTileW),1573227160885,0,0,0,0,1
22186,(CompositorTileW),1573227160885,0,0,0,0,1
22187,(CompositorTileW),1573227160885,0,0,0,0,1
22165,(chromium-browse),1573227160886,4,2,0,0,1
22171,(ThreadPoolServi),1573227160886,0,0,0,0,1
22172,(ThreadPoolForeg),1573227160886,0,0,0,0,1
22173,(Chrome_ChildIOT),1573227160886,1,0,0,0,1
22174,(GpuMemoryThread),1573227160886,0,0,0,0,1
22175,(ThreadPoolForeg),1573227160886,0,0,0,0,1
22182,(Compositor),1573227160886,0,0,0,0,1
22183,(CompositorTileW),1573227160886,0,0,0,0,1
22184,(CompositorTileW),1573227160886,0,0,0,0,1
22185,(CompositorTileW),1573227160886,0,0,0,0,1
22186,(CompositorTileW),1573227160886,0,0,0,0,1
22187,(CompositorTileW),1573227160886,0,0,0,0,1
22165,(chromium-browse),1573227160888,4,2,0,0,2
22171,(ThreadPoolServi),1573227160888,0,0,0,0,2
22172,(ThreadPoolForeg),1573227160888,0,0,0,0,2
22173,(Chrome_ChildIOT),1573227160888,1,0,0,0,2
