pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
21852,(chromium-browse),1573227097559,2,4,2,4,1269067223
21858,(ThreadPoolServi),1573227097559,0,0,0,0,1269067223
21859,(ThreadPoolForeg),1573227097559,0,0,0,0,1269067223
21860,(Chrome_ChildIOT),1573227097559,1,0,1,0,1269067223
21861,(GpuMemoryThread),1573227097559,0,0,0,0,1269067223
21865,(ThreadPoolForeg),1573227097559,0,0,0,0,1269067223
21869,(Compositor),1573227097559,0,0,0,0,1269067223
21870,(CompositorTileW),1573227097559,0,0,0,0,1269067223
21871,(CompositorTileW),1573227097559,0,0,0,0,1269067223
21872,(CompositorTileW),1573227097559,0,0,0,0,1269067223
21873,(CompositorTileW),1573227097559,0,0,0,0,1269067223
21874,(CompositorTileW),1573227097559,0,0,0,0,1269067223
21852,(chromium-browse),1573227097562,2,4,0,0,3
21858,(ThreadPoolServi),1573227097562,0,0,0,0,3
21859,(ThreadPoolForeg),1573227097562,0,0,0,0,3
21860,(Chrome_ChildIOT),1573227097562,1,0,0,0,3
21861,(GpuMemoryThread),1573227097562,0,0,0,0,3
21865,(ThreadPoolForeg),1573227097562,0,0,0,0,3
21869,(Compositor),1573227097562,0,0,0,0,3
21870,(CompositorTileW),1573227097562,0,0,0,0,3
21871,(CompositorTileW),1573227097562,0,0,0,0,3
21872,(CompositorTileW),1573227097562,0,0,0,0,3
21873,(CompositorTileW),1573227097562,0,0,0,0,3
21874,(CompositorTileW),1573227097562,0,0,0,0,3
21852,(chromium-browse),1573227097563,2,4,0,0,1
21858,(ThreadPoolServi),1573227097563,0,0,0,0,1
21859,(ThreadPoolForeg),1573227097563,0,0,0,0,1
21860,(Chrome_ChildIOT),1573227097563,1,0,0,0,1
21861,(GpuMemoryThread),1573227097563,0,0,0,0,1
21865,(ThreadPoolForeg),1573227097563,0,0,0,0,1
21869,(Compositor),1573227097563,0,0,0,0,1
21870,(CompositorTileW),1573227097563,0,0,0,0,1
21871,(CompositorTileW),1573227097563,0,0,0,0,1
