pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
24305,(chromium-browse),1572838697241,108,59,108,59,880666905
24315,(chromium-browse),1572838697241,5,8,5,8,880666905
24319,(chromium-browse),1572838697241,0,1,0,1,880666905
24349,(chromium-browse),1572838697241,26,16,26,16,880666905
24358,(chromium-browse),1572838697241,11,14,11,14,880666905
24405,(chromium-browse),1572838697241,5,3,5,3,880666905
24406,(chromium-browse),1572838697241,11,8,11,8,880666905
24439,(chromium-browse),1572838697241,7,5,7,5,880666905
24305,(chromium-browse),1572838697243,108,60,0,1,2
24315,(chromium-browse),1572838697243,5,8,0,0,2
24319,(chromium-browse),1572838697243,0,1,0,0,2
24349,(chromium-browse),1572838697243,26,16,0,0,2
24358,(chromium-browse),1572838697243,11,14,0,0,2
24405,(chromium-browse),1572838697243,5,3,0,0,2
24406,(chromium-browse),1572838697243,11,8,0,0,2
24439,(chromium-browse),1572838697243,7,5,0,0,2
24305,(chromium-browse),1572838697244,108,60,0,0,1
24315,(chromium-browse),1572838697244,5,8,0,0,1
24319,(chromium-browse),1572838697244,0,1,0,0,1
24349,(chromium-browse),1572838697244,26,16,0,0,1
24358,(chromium-browse),1572838697244,11,14,0,0,1
24405,(chromium-browse),1572838697244,5,3,0,0,1
24406,(chromium-browse),1572838697244,11,8,0,0,1
24439,(chromium-browse),1572838697244,7,5,0,0,1
24305,(chromium-browse),1572838697245,108,60,0,0,1
24315,(chromium-browse),1572838697245,5,8,0,0,1
24319,(chromium-browse),1572838697245,0,1,0,0,1
24349,(chromium-browse),1572838697245,26,16,0,0,1
24358,(chromium-browse),1572838697245,12,14,1,0,1
24405,(chromium-browse),1572838697245,5,3,0,0,1
24406,(chromium-browse),1572838697245,11,8,0,0,1
24439,(chromium-browse),1572838697245,8,5,1,0,1
24305,(chromium-browse),1572838697247,108,60,0,0,2
24315,(chromium-browse),1572838697247,5,8,0,0,2
24319,(chromium-browse),1572838697247,0,1,0,0,2
24349,(chromium-browse),1572838697247,26,16,0,0,2
24358,(chromium-browse),1572838697247,12,14,0,0,2
24405,(chromium-browse),1572838697247,5,3,0,0,2
24406,(chromium-browse),1572838697247,11,8,0,0,2
24439,(chromium-browse),1572838697247,8,5,0,0,2
24305,(chromium-browse),1572838697248,108,60,0,0,1
24315,(chromium-browse),1572838697248,5,8,0,0,1
24319,(chromium-browse),1572838697248,0,1,0,0,1
24349,(chromium-browse),1572838697248,26,16,0,0,1
24358,(chromium-browse),1572838697248,12,14,0,0,1
24405,(chromium-browse),1572838697248,5,3,0,0,1
24406,(chromium-browse),1572838697248,11,8,0,0,1
24439,(chromium-browse),1572838697248,8,5,0,0,1
24305,(chromium-browse),1572838697249,108,60,0,0,1
24315,(chromium-browse),1572838697249,5,8,0,0,1
24319,(chromium-browse),1572838697249,0,1,0,0,1
24349,(chromium-browse),1572838697249,26,16,0,0,1
24358,(chromium-browse),1572838697249,12,14,0,0,1
24405,(chromium-browse),1572838697249,5,3,0,0,1
24406,(chromium-browse),1572838697249,11,8,0,0,1
24439,(chromium-browse),1572838697249,8,5,0,0,1
24305,(chromium-browse),1572838697253,108,61,0,1,4
24315,(chromium-browse),1572838697253,5,8,0,0,4
24319,(chromium-browse),1572838697253,0,1,0,0,4
24349,(chromium-browse),1572838697253,26,16,0,0,4
24358,(chromium-browse),1572838697253,12,14,0,0,4
24405,(chromium-browse),1572838697253,5,3,0,0,4
24406,(chromium-browse),1572838697253,11,8,0,0,4
24439,(chromium-browse),1572838697253,9,5,1,0,4
24305,(chromium-browse),1572838697256,109,61,1,0,3
24315,(chromium-browse),1572838697256,5,8,0,0,3
24319,(chromium-browse),1572838697256,0,1,0,0,3
24349,(chromium-browse),1572838697256,26,16,0,0,3
24358,(chromium-browse),1572838697256,12,14,0,0,3
24405,(chromium-browse),1572838697256,5,3,0,0,3
24406,(chromium-browse),1572838697256,11,8,0,0,3
24439,(chromium-browse),1572838697256,9,5,0,0,3
24305,(chromium-browse),1572838697257,109,61,0,0,1
24315,(chromium-browse),1572838697257,5,8,0,0,1
24319,(chromium-browse),1572838697257,0,1,0,0,1
24349,(chromium-browse),1572838697257,26,16,0,0,1
24358,(chromium-browse),1572838697257,12,14,0,0,1
24405,(chromium-browse),1572838697257,5,3,0,0,1
24406,(chromium-browse),1572838697257,11,8,0,0,1
24439,(chromium-browse),1572838697257,9,5,0,0,1
24305,(chromium-browse),1572838697259,109,61,0,0,2
24315,(chromium-browse),1572838697259,5,8,0,0,2
24319,(chromium-browse),1572838697259,0,1,0,0,2
24349,(chromium-browse),1572838697259,26,16,0,0,2
24358,(chromium-browse),1572838697259,12,14,0,0,2
24405,(chromium-browse),1572838697259,5,3,0,0,2
24406,(chromium-browse),1572838697259,11,8,0,0,2
24439,(chromium-browse),1572838697259,9,5,0,0,2
24305,(chromium-browse),1572838697260,109,61,0,0,1
24315,(chromium-browse),1572838697260,5,8,0,0,1
24319,(chromium-browse),1572838697260,0,1,0,0,1
24349,(chromium-browse),1572838697260,26,16,0,0,1
24358,(chromium-browse),1572838697260,12,14,0,0,1
24405,(chromium-browse),1572838697260,5,3,0,0,1
24406,(chromium-browse),1572838697260,11,8,0,0,1
24439,(chromium-browse),1572838697260,9,5,0,0,1
24305,(chromium-browse),1572838697261,109,61,0,0,1
24315,(chromium-browse),1572838697261,5,8,0,0,1
24319,(chromium-browse),1572838697261,0,1,0,0,1
24349,(chromium-browse),1572838697261,26,16,0,0,1
24358,(chromium-browse),1572838697261,12,14,0,0,1
24405,(chromium-browse),1572838697261,5,3,0,0,1
24406,(chromium-browse),1572838697261,11,8,0,0,1
24439,(chromium-browse),1572838697261,9,5,0,0,1
24305,(chromium-browse),1572838697262,109,61,0,0,1
24315,(chromium-browse),1572838697262,5,8,0,0,1
24319,(chromium-browse),1572838697262,0,1,0,0,1
24349,(chromium-browse),1572838697262,26,16,0,0,1
24358,(chromium-browse),1572838697262,12,14,0,0,1
24405,(chromium-browse),1572838697262,5,3,0,0,1
24406,(chromium-browse),1572838697262,11,8,0,0,1
24439,(chromium-browse),1572838697262,9,5,0,0,1
24305,(chromium-browse),1572838697263,109,61,0,0,1
24315,(chromium-browse),1572838697263,5,8,0,0,1
24319,(chromium-browse),1572838697263,0,1,0,0,1
24349,(chromium-browse),1572838697263,26,16,0,0,1
24358,(chromium-browse),1572838697263,12,14,0,0,1
24405,(chromium-browse),1572838697263,5,3,0,0,1
24406,(chromium-browse),1572838697263,11,8,0,0,1
24439,(chromium-browse),1572838697263,9,5,0,0,1
24305,(chromium-browse),1572838697264,109,61,0,0,1
24315,(chromium-browse),1572838697264,5,8,0,0,1
24319,(chromium-browse),1572838697264,0,1,0,0,1
24349,(chromium-browse),1572838697264,26,16,0,0,1
24358,(chromium-browse),1572838697264,12,14,0,0,1
24405,(chromium-browse),1572838697264,5,3,0,0,1
24406,(chromium-browse),1572838697264,11,8,0,0,1
24439,(chromium-browse),1572838697264,9,5,0,0,1
24305,(chromium-browse),1572838697265,109,61,0,0,1
24315,(chromium-browse),1572838697265,5,8,0,0,1
24319,(chromium-browse),1572838697265,0,1,0,0,1
24349,(chromium-browse),1572838697265,26,16,0,0,1
24358,(chromium-browse),1572838697265,12,14,0,0,1
24405,(chromium-browse),1572838697265,5,3,0,0,1
24406,(chromium-browse),1572838697265,11,8,0,0,1
24439,(chromium-browse),1572838697265,9,5,0,0,1
24305,(chromium-browse),1572838697266,109,63,0,2,1
24315,(chromium-browse),1572838697266,5,8,0,0,1
24319,(chromium-browse),1572838697266,0,1,0,0,1
24349,(chromium-browse),1572838697266,26,16,0,0,1
24358,(chromium-browse),1572838697266,12,14,0,0,1
24405,(chromium-browse),1572838697266,5,3,0,0,1
