pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
21213,(chromium-browse),1573226581781,3,4,3,4,1268551445
21215,(ThreadPoolServi),1573226581781,0,0,0,0,1268551445
21216,(ThreadPoolForeg),1573226581781,0,0,0,0,1268551445
21217,(Chrome_ChildIOT),1573226581781,1,0,1,0,1268551445
21218,(GpuMemoryThread),1573226581781,0,0,0,0,1268551445
21219,(ThreadPoolForeg),1573226581781,0,0,0,0,1268551445
21226,(Compositor),1573226581781,0,0,0,0,1268551445
21227,(CompositorTileW),1573226581781,0,0,0,0,1268551445
21228,(CompositorTileW),1573226581781,0,0,0,0,1268551445
21229,(CompositorTileW),1573226581781,0,0,0,0,1268551445
21230,(CompositorTileW),1573226581781,0,0,0,0,1268551445
21231,(CompositorTileW),1573226581781,0,0,0,0,1268551445
21213,(chromium-browse),1573226581782,3,4,0,0,1
21215,(ThreadPoolServi),1573226581782,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581782,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581782,1,0,0,0,1
21218,(GpuMemoryThread),1573226581782,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581782,0,0,0,0,1
21226,(Compositor),1573226581782,0,0,0,0,1
21227,(CompositorTileW),1573226581782,0,0,0,0,1
21228,(CompositorTileW),1573226581782,0,0,0,0,1
21229,(CompositorTileW),1573226581782,0,0,0,0,1
21230,(CompositorTileW),1573226581782,0,0,0,0,1
21231,(CompositorTileW),1573226581782,0,0,0,0,1
21213,(chromium-browse),1573226581784,3,4,0,0,2
21215,(ThreadPoolServi),1573226581784,0,0,0,0,2
21216,(ThreadPoolForeg),1573226581784,0,0,0,0,2
21217,(Chrome_ChildIOT),1573226581784,1,0,0,0,2
21218,(GpuMemoryThread),1573226581784,0,0,0,0,2
21219,(ThreadPoolForeg),1573226581784,0,0,0,0,2
21226,(Compositor),1573226581784,0,0,0,0,2
21227,(CompositorTileW),1573226581784,0,0,0,0,2
21228,(CompositorTileW),1573226581784,0,0,0,0,2
21229,(CompositorTileW),1573226581784,0,0,0,0,2
21230,(CompositorTileW),1573226581784,0,0,0,0,2
21231,(CompositorTileW),1573226581784,0,0,0,0,2
21213,(chromium-browse),1573226581785,3,4,0,0,1
21215,(ThreadPoolServi),1573226581785,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581785,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581785,1,0,0,0,1
21218,(GpuMemoryThread),1573226581785,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581785,0,0,0,0,1
21226,(Compositor),1573226581785,0,0,0,0,1
21227,(CompositorTileW),1573226581785,0,0,0,0,1
21228,(CompositorTileW),1573226581785,0,0,0,0,1
21229,(CompositorTileW),1573226581785,0,0,0,0,1
21230,(CompositorTileW),1573226581785,0,0,0,0,1
21231,(CompositorTileW),1573226581785,0,0,0,0,1
21213,(chromium-browse),1573226581786,3,4,0,0,1
21215,(ThreadPoolServi),1573226581786,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581786,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581786,1,0,0,0,1
21218,(GpuMemoryThread),1573226581786,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581786,0,0,0,0,1
21226,(Compositor),1573226581786,0,0,0,0,1
21227,(CompositorTileW),1573226581786,0,0,0,0,1
21228,(CompositorTileW),1573226581786,0,0,0,0,1
21229,(CompositorTileW),1573226581786,0,0,0,0,1
21230,(CompositorTileW),1573226581786,0,0,0,0,1
21231,(CompositorTileW),1573226581786,0,0,0,0,1
21213,(chromium-browse),1573226581787,3,4,0,0,1
21215,(ThreadPoolServi),1573226581787,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581787,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581787,1,0,0,0,1
21218,(GpuMemoryThread),1573226581787,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581787,0,0,0,0,1
21226,(Compositor),1573226581787,0,0,0,0,1
21227,(CompositorTileW),1573226581787,0,0,0,0,1
21228,(CompositorTileW),1573226581787,0,0,0,0,1
21229,(CompositorTileW),1573226581787,0,0,0,0,1
21230,(CompositorTileW),1573226581787,0,0,0,0,1
21231,(CompositorTileW),1573226581787,0,0,0,0,1
21213,(chromium-browse),1573226581789,3,4,0,0,2
21215,(ThreadPoolServi),1573226581789,0,0,0,0,2
21216,(ThreadPoolForeg),1573226581789,0,0,0,0,2
21217,(Chrome_ChildIOT),1573226581789,1,0,0,0,2
21218,(GpuMemoryThread),1573226581789,0,0,0,0,2
21219,(ThreadPoolForeg),1573226581789,0,0,0,0,2
21226,(Compositor),1573226581789,0,0,0,0,2
21227,(CompositorTileW),1573226581789,0,0,0,0,2
21228,(CompositorTileW),1573226581789,0,0,0,0,2
21229,(CompositorTileW),1573226581789,0,0,0,0,2
21230,(CompositorTileW),1573226581789,0,0,0,0,2
21231,(CompositorTileW),1573226581789,0,0,0,0,2
21213,(chromium-browse),1573226581790,3,4,0,0,1
21215,(ThreadPoolServi),1573226581790,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581790,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581790,1,0,0,0,1
21218,(GpuMemoryThread),1573226581790,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581790,0,0,0,0,1
21226,(Compositor),1573226581790,0,0,0,0,1
21227,(CompositorTileW),1573226581790,0,0,0,0,1
21228,(CompositorTileW),1573226581790,0,0,0,0,1
21229,(CompositorTileW),1573226581790,0,0,0,0,1
21230,(CompositorTileW),1573226581790,0,0,0,0,1
21231,(CompositorTileW),1573226581790,0,0,0,0,1
21213,(chromium-browse),1573226581791,3,4,0,0,1
21215,(ThreadPoolServi),1573226581791,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581791,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581791,1,0,0,0,1
21218,(GpuMemoryThread),1573226581791,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581791,0,0,0,0,1
21226,(Compositor),1573226581791,0,0,0,0,1
21227,(CompositorTileW),1573226581791,0,0,0,0,1
21228,(CompositorTileW),1573226581791,0,0,0,0,1
21229,(CompositorTileW),1573226581791,0,0,0,0,1
21230,(CompositorTileW),1573226581791,0,0,0,0,1
21231,(CompositorTileW),1573226581791,0,0,0,0,1
21213,(chromium-browse),1573226581793,3,4,0,0,2
21215,(ThreadPoolServi),1573226581793,0,0,0,0,2
21216,(ThreadPoolForeg),1573226581793,0,0,0,0,2
21217,(Chrome_ChildIOT),1573226581793,1,0,0,0,2
21218,(GpuMemoryThread),1573226581793,0,0,0,0,2
21219,(ThreadPoolForeg),1573226581793,0,0,0,0,2
21226,(Compositor),1573226581793,0,0,0,0,2
21227,(CompositorTileW),1573226581793,0,0,0,0,2
21228,(CompositorTileW),1573226581793,0,0,0,0,2
21229,(CompositorTileW),1573226581793,0,0,0,0,2
21230,(CompositorTileW),1573226581793,0,0,0,0,2
21231,(CompositorTileW),1573226581793,0,0,0,0,2
21213,(chromium-browse),1573226581794,3,4,0,0,1
21215,(ThreadPoolServi),1573226581794,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581794,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581794,1,0,0,0,1
21218,(GpuMemoryThread),1573226581794,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581794,0,0,0,0,1
21226,(Compositor),1573226581794,0,0,0,0,1
21227,(CompositorTileW),1573226581794,0,0,0,0,1
21228,(CompositorTileW),1573226581794,0,0,0,0,1
21229,(CompositorTileW),1573226581794,0,0,0,0,1
21230,(CompositorTileW),1573226581794,0,0,0,0,1
21231,(CompositorTileW),1573226581794,0,0,0,0,1
21213,(chromium-browse),1573226581795,3,4,0,0,1
21215,(ThreadPoolServi),1573226581795,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581795,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581795,1,0,0,0,1
21218,(GpuMemoryThread),1573226581795,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581795,0,0,0,0,1
21226,(Compositor),1573226581795,0,0,0,0,1
21227,(CompositorTileW),1573226581795,0,0,0,0,1
21228,(CompositorTileW),1573226581795,0,0,0,0,1
21229,(CompositorTileW),1573226581795,0,0,0,0,1
21230,(CompositorTileW),1573226581795,0,0,0,0,1
21231,(CompositorTileW),1573226581795,0,0,0,0,1
21213,(chromium-browse),1573226581797,3,4,0,0,2
21215,(ThreadPoolServi),1573226581797,0,0,0,0,2
21216,(ThreadPoolForeg),1573226581797,0,0,0,0,2
21217,(Chrome_ChildIOT),1573226581797,1,0,0,0,2
21218,(GpuMemoryThread),1573226581797,0,0,0,0,2
21219,(ThreadPoolForeg),1573226581797,0,0,0,0,2
21226,(Compositor),1573226581797,0,0,0,0,2
21227,(CompositorTileW),1573226581797,0,0,0,0,2
21228,(CompositorTileW),1573226581797,0,0,0,0,2
21229,(CompositorTileW),1573226581797,0,0,0,0,2
21230,(CompositorTileW),1573226581797,0,0,0,0,2
21231,(CompositorTileW),1573226581797,0,0,0,0,2
21213,(chromium-browse),1573226581798,3,4,0,0,1
21215,(ThreadPoolServi),1573226581798,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581798,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581798,1,0,0,0,1
21218,(GpuMemoryThread),1573226581798,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581798,0,0,0,0,1
21226,(Compositor),1573226581798,0,0,0,0,1
21227,(CompositorTileW),1573226581798,0,0,0,0,1
21228,(CompositorTileW),1573226581798,0,0,0,0,1
21229,(CompositorTileW),1573226581798,0,0,0,0,1
21230,(CompositorTileW),1573226581798,0,0,0,0,1
21231,(CompositorTileW),1573226581798,0,0,0,0,1
21213,(chromium-browse),1573226581799,3,4,0,0,1
21215,(ThreadPoolServi),1573226581799,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581799,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581799,1,0,0,0,1
21218,(GpuMemoryThread),1573226581799,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581799,0,0,0,0,1
21226,(Compositor),1573226581799,0,0,0,0,1
21227,(CompositorTileW),1573226581799,0,0,0,0,1
21228,(CompositorTileW),1573226581799,0,0,0,0,1
21229,(CompositorTileW),1573226581799,0,0,0,0,1
21230,(CompositorTileW),1573226581799,0,0,0,0,1
21231,(CompositorTileW),1573226581799,0,0,0,0,1
21213,(chromium-browse),1573226581801,3,4,0,0,2
21215,(ThreadPoolServi),1573226581801,0,0,0,0,2
21216,(ThreadPoolForeg),1573226581801,0,0,0,0,2
21217,(Chrome_ChildIOT),1573226581801,1,0,0,0,2
21218,(GpuMemoryThread),1573226581801,0,0,0,0,2
21219,(ThreadPoolForeg),1573226581801,0,0,0,0,2
21226,(Compositor),1573226581801,0,0,0,0,2
21227,(CompositorTileW),1573226581801,0,0,0,0,2
21228,(CompositorTileW),1573226581801,0,0,0,0,2
21229,(CompositorTileW),1573226581801,0,0,0,0,2
21230,(CompositorTileW),1573226581801,0,0,0,0,2
21231,(CompositorTileW),1573226581801,0,0,0,0,2
21213,(chromium-browse),1573226581802,3,4,0,0,1
21215,(ThreadPoolServi),1573226581802,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581802,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581802,1,0,0,0,1
21218,(GpuMemoryThread),1573226581802,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581802,0,0,0,0,1
21226,(Compositor),1573226581802,0,0,0,0,1
21227,(CompositorTileW),1573226581802,0,0,0,0,1
21228,(CompositorTileW),1573226581802,0,0,0,0,1
21229,(CompositorTileW),1573226581802,0,0,0,0,1
21230,(CompositorTileW),1573226581802,0,0,0,0,1
21231,(CompositorTileW),1573226581802,0,0,0,0,1
21213,(chromium-browse),1573226581803,3,4,0,0,1
21215,(ThreadPoolServi),1573226581803,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581803,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581803,1,0,0,0,1
21218,(GpuMemoryThread),1573226581803,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581803,0,0,0,0,1
21226,(Compositor),1573226581803,0,0,0,0,1
21227,(CompositorTileW),1573226581803,0,0,0,0,1
21228,(CompositorTileW),1573226581803,0,0,0,0,1
21229,(CompositorTileW),1573226581803,0,0,0,0,1
21230,(CompositorTileW),1573226581803,0,0,0,0,1
21231,(CompositorTileW),1573226581803,0,0,0,0,1
21213,(chromium-browse),1573226581805,3,4,0,0,2
21215,(ThreadPoolServi),1573226581805,0,0,0,0,2
21216,(ThreadPoolForeg),1573226581805,0,0,0,0,2
21217,(Chrome_ChildIOT),1573226581805,1,0,0,0,2
21218,(GpuMemoryThread),1573226581805,0,0,0,0,2
21219,(ThreadPoolForeg),1573226581805,0,0,0,0,2
21226,(Compositor),1573226581805,0,0,0,0,2
21227,(CompositorTileW),1573226581805,0,0,0,0,2
21228,(CompositorTileW),1573226581805,0,0,0,0,2
21229,(CompositorTileW),1573226581805,0,0,0,0,2
21230,(CompositorTileW),1573226581805,0,0,0,0,2
21231,(CompositorTileW),1573226581805,0,0,0,0,2
21213,(chromium-browse),1573226581806,3,4,0,0,1
21215,(ThreadPoolServi),1573226581806,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581806,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581806,1,0,0,0,1
21218,(GpuMemoryThread),1573226581806,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581806,0,0,0,0,1
21226,(Compositor),1573226581806,0,0,0,0,1
21227,(CompositorTileW),1573226581806,0,0,0,0,1
21228,(CompositorTileW),1573226581806,0,0,0,0,1
21229,(CompositorTileW),1573226581806,0,0,0,0,1
21230,(CompositorTileW),1573226581806,0,0,0,0,1
21231,(CompositorTileW),1573226581806,0,0,0,0,1
21213,(chromium-browse),1573226581807,3,4,0,0,1
21215,(ThreadPoolServi),1573226581807,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581807,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581807,1,0,0,0,1
21218,(GpuMemoryThread),1573226581807,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581807,0,0,0,0,1
21226,(Compositor),1573226581807,0,0,0,0,1
21227,(CompositorTileW),1573226581807,0,0,0,0,1
21228,(CompositorTileW),1573226581807,0,0,0,0,1
21229,(CompositorTileW),1573226581807,0,0,0,0,1
21230,(CompositorTileW),1573226581807,0,0,0,0,1
21231,(CompositorTileW),1573226581807,0,0,0,0,1
21213,(chromium-browse),1573226581808,3,4,0,0,1
21215,(ThreadPoolServi),1573226581808,0,0,0,0,1
21216,(ThreadPoolForeg),1573226581808,0,0,0,0,1
21217,(Chrome_ChildIOT),1573226581808,1,0,0,0,1
21218,(GpuMemoryThread),1573226581808,0,0,0,0,1
21219,(ThreadPoolForeg),1573226581808,0,0,0,0,1
21226,(Compositor),1573226581808,0,0,0,0,1
21227,(CompositorTileW),1573226581808,0,0,0,0,1
21228,(CompositorTileW),1573226581808,0,0,0,0,1
21229,(CompositorTileW),1573226581808,0,0,0,0,1
21230,(CompositorTileW),1573226581808,0,0,0,0,1
21231,(CompositorTileW),1573226581808,0,0,0,0,1
21213,(chromium-browse),1573226581810,3,4,0,0,2
21215,(ThreadPoolServi),1573226581810,0,0,0,0,2
21216,(ThreadPoolForeg),1573226581810,0,0,0,0,2
21217,(Chrome_ChildIOT),1573226581810,1,0,0,0,2
