pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
24937,(chromium-browse),1572839020132,102,60,102,60,880989796
24947,(chromium-browse),1572839020132,5,9,5,9,880989796
24951,(chromium-browse),1572839020132,0,1,0,1,880989796
24983,(chromium-browse),1572839020132,31,15,31,15,880989796
24991,(chromium-browse),1572839020132,14,11,14,11,880989796
25038,(chromium-browse),1572839020132,4,4,4,4,880989796
25044,(chromium-browse),1572839020132,8,7,8,7,880989796
24937,(chromium-browse),1572839020135,102,60,0,0,3
24947,(chromium-browse),1572839020135,5,9,0,0,3
24951,(chromium-browse),1572839020135,0,1,0,0,3
24983,(chromium-browse),1572839020135,31,15,0,0,3
24991,(chromium-browse),1572839020135,14,11,0,0,3
25038,(chromium-browse),1572839020135,4,4,0,0,3
25044,(chromium-browse),1572839020135,9,7,1,0,3
24937,(chromium-browse),1572839020137,103,60,1,0,2
24947,(chromium-browse),1572839020137,5,9,0,0,2
24951,(chromium-browse),1572839020137,0,1,0,0,2
24983,(chromium-browse),1572839020137,31,16,0,1,2
24991,(chromium-browse),1572839020137,14,11,0,0,2
25038,(chromium-browse),1572839020137,4,4,0,0,2
25044,(chromium-browse),1572839020137,9,7,0,0,2
24937,(chromium-browse),1572839020141,103,61,0,1,4
24947,(chromium-browse),1572839020141,5,9,0,0,4
24951,(chromium-browse),1572839020141,0,1,0,0,4
24983,(chromium-browse),1572839020141,32,16,1,0,4
24991,(chromium-browse),1572839020141,15,11,1,0,4
25038,(chromium-browse),1572839020141,4,4,0,0,4
25044,(chromium-browse),1572839020141,9,7,0,0,4
24937,(chromium-browse),1572839020146,104,61,1,0,5
24947,(chromium-browse),1572839020146,5,9,0,0,5
24951,(chromium-browse),1572839020146,0,1,0,0,5
24983,(chromium-browse),1572839020146,32,16,0,0,5
24991,(chromium-browse),1572839020146,15,11,0,0,5
25038,(chromium-browse),1572839020146,4,4,0,0,5
25044,(chromium-browse),1572839020146,9,7,0,0,5
24937,(chromium-browse),1572839020147,104,61,0,0,1
24947,(chromium-browse),1572839020147,5,9,0,0,1
24951,(chromium-browse),1572839020147,0,1,0,0,1
24983,(chromium-browse),1572839020147,32,16,0,0,1
24991,(chromium-browse),1572839020147,15,11,0,0,1
25038,(chromium-browse),1572839020147,4,4,0,0,1
25044,(chromium-browse),1572839020147,9,7,0,0,1
24937,(chromium-browse),1572839020149,105,61,1,0,2
24947,(chromium-browse),1572839020149,5,9,0,0,2
24951,(chromium-browse),1572839020149,0,1,0,0,2
24983,(chromium-browse),1572839020149,32,16,0,0,2
24991,(chromium-browse),1572839020149,15,11,0,0,2
25038,(chromium-browse),1572839020149,4,4,0,0,2
25044,(chromium-browse),1572839020149,9,7,0,0,2
24937,(chromium-browse),1572839020150,105,61,0,0,1
24947,(chromium-browse),1572839020150,5,9,0,0,1
24951,(chromium-browse),1572839020150,0,1,0,0,1
24983,(chromium-browse),1572839020150,32,16,0,0,1
24991,(chromium-browse),1572839020150,15,11,0,0,1
25038,(chromium-browse),1572839020150,4,4,0,0,1
25044,(chromium-browse),1572839020150,10,7,1,0,1
24937,(chromium-browse),1572839020151,106,61,1,0,1
24947,(chromium-browse),1572839020151,5,9,0,0,1
24951,(chromium-browse),1572839020151,0,1,0,0,1
24983,(chromium-browse),1572839020151,32,16,0,0,1
24991,(chromium-browse),1572839020151,15,11,0,0,1
25038,(chromium-browse),1572839020151,4,4,0,0,1
25044,(chromium-browse),1572839020151,10,7,0,0,1
24937,(chromium-browse),1572839020153,106,61,0,0,2
24947,(chromium-browse),1572839020153,5,9,0,0,2
24951,(chromium-browse),1572839020153,0,1,0,0,2
24983,(chromium-browse),1572839020153,33,16,1,0,2
24991,(chromium-browse),1572839020153,15,11,0,0,2
25038,(chromium-browse),1572839020153,4,4,0,0,2
25044,(chromium-browse),1572839020153,10,7,0,0,2
24937,(chromium-browse),1572839020154,106,61,0,0,1
24947,(chromium-browse),1572839020154,5,9,0,0,1
24951,(chromium-browse),1572839020154,0,1,0,0,1
24983,(chromium-browse),1572839020154,33,16,0,0,1
24991,(chromium-browse),1572839020154,15,11,0,0,1
25038,(chromium-browse),1572839020154,4,4,0,0,1
25044,(chromium-browse),1572839020154,10,7,0,0,1
24937,(chromium-browse),1572839020155,106,61,0,0,1
24947,(chromium-browse),1572839020155,5,9,0,0,1
24951,(chromium-browse),1572839020155,0,1,0,0,1
24983,(chromium-browse),1572839020155,33,16,0,0,1
24991,(chromium-browse),1572839020155,15,11,0,0,1
25038,(chromium-browse),1572839020155,4,4,0,0,1
25044,(chromium-browse),1572839020155,10,7,0,0,1
24937,(chromium-browse),1572839020156,106,61,0,0,1
24947,(chromium-browse),1572839020156,5,9,0,0,1
24951,(chromium-browse),1572839020156,0,1,0,0,1
24983,(chromium-browse),1572839020156,33,16,0,0,1
24991,(chromium-browse),1572839020156,15,11,0,0,1
25038,(chromium-browse),1572839020156,4,4,0,0,1
25044,(chromium-browse),1572839020156,10,7,0,0,1
24937,(chromium-browse),1572839020158,106,61,0,0,2
24947,(chromium-browse),1572839020158,5,9,0,0,2
24951,(chromium-browse),1572839020158,0,1,0,0,2
24983,(chromium-browse),1572839020158,33,16,0,0,2
24991,(chromium-browse),1572839020158,15,11,0,0,2
25038,(chromium-browse),1572839020158,4,4,0,0,2
25044,(chromium-browse),1572839020158,10,7,0,0,2
24937,(chromium-browse),1572839020159,106,61,0,0,1
24947,(chromium-browse),1572839020159,5,9,0,0,1
24951,(chromium-browse),1572839020159,0,1,0,0,1
24983,(chromium-browse),1572839020159,33,16,0,0,1
24991,(chromium-browse),1572839020159,15,11,0,0,1
25038,(chromium-browse),1572839020159,4,4,0,0,1
25044,(chromium-browse),1572839020159,10,7,0,0,1
24937,(chromium-browse),1572839020161,107,61,1,0,2
24947,(chromium-browse),1572839020161,5,9,0,0,2
24951,(chromium-browse),1572839020161,0,1,0,0,2
24983,(chromium-browse),1572839020161,34,16,1,0,2
24991,(chromium-browse),1572839020161,15,11,0,0,2
25038,(chromium-browse),1572839020161,4,4,0,0,2
25044,(chromium-browse),1572839020161,10,7,0,0,2
24937,(chromium-browse),1572839020164,107,62,0,1,3
24947,(chromium-browse),1572839020164,5,9,0,0,3
24951,(chromium-browse),1572839020164,0,1,0,0,3
24983,(chromium-browse),1572839020164,34,16,0,0,3
24991,(chromium-browse),1572839020164,15,11,0,0,3
25038,(chromium-browse),1572839020164,4,4,0,0,3
25044,(chromium-browse),1572839020164,10,7,0,0,3
24937,(chromium-browse),1572839020165,107,62,0,0,1
24947,(chromium-browse),1572839020165,5,9,0,0,1
24951,(chromium-browse),1572839020165,0,1,0,0,1
24983,(chromium-browse),1572839020165,34,16,0,0,1
24991,(chromium-browse),1572839020165,15,11,0,0,1
25038,(chromium-browse),1572839020165,4,4,0,0,1
25044,(chromium-browse),1572839020165,10,7,0,0,1
24937,(chromium-browse),1572839020166,107,62,0,0,1
24947,(chromium-browse),1572839020166,5,9,0,0,1
24951,(chromium-browse),1572839020166,0,1,0,0,1
24983,(chromium-browse),1572839020166,34,16,0,0,1
24991,(chromium-browse),1572839020166,15,11,0,0,1
25038,(chromium-browse),1572839020166,4,4,0,0,1
25044,(chromium-browse),1572839020166,11,7,1,0,1
24937,(chromium-browse),1572839020167,107,62,0,0,1
24947,(chromium-browse),1572839020167,5,9,0,0,1
24951,(chromium-browse),1572839020167,0,1,0,0,1
24983,(chromium-browse),1572839020167,34,16,0,0,1
24991,(chromium-browse),1572839020167,15,11,0,0,1
25038,(chromium-browse),1572839020167,4,4,0,0,1
25044,(chromium-browse),1572839020167,11,7,0,0,1
24937,(chromium-browse),1572839020169,107,63,0,1,2
24947,(chromium-browse),1572839020169,5,9,0,0,2
24951,(chromium-browse),1572839020169,0,1,0,0,2
24983,(chromium-browse),1572839020169,34,16,0,0,2
24991,(chromium-browse),1572839020169,15,11,0,0,2
25038,(chromium-browse),1572839020169,4,4,0,0,2
25044,(chromium-browse),1572839020169,11,7,0,0,2
24937,(chromium-browse),1572839020170,107,63,0,0,1
24947,(chromium-browse),1572839020170,5,9,0,0,1
24951,(chromium-browse),1572839020170,0,1,0,0,1
24983,(chromium-browse),1572839020170,34,16,0,0,1
24991,(chromium-browse),1572839020170,15,11,0,0,1
25038,(chromium-browse),1572839020170,4,4,0,0,1
25044,(chromium-browse),1572839020170,11,7,0,0,1
24937,(chromium-browse),1572839020171,107,63,0,0,1
24947,(chromium-browse),1572839020171,5,9,0,0,1
24951,(chromium-browse),1572839020171,0,1,0,0,1
24983,(chromium-browse),1572839020171,34,16,0,0,1
24991,(chromium-browse),1572839020171,15,11,0,0,1
25038,(chromium-browse),1572839020171,4,4,0,0,1
25044,(chromium-browse),1572839020171,11,7,0,0,1
24937,(chromium-browse),1572839020172,107,63,0,0,1
24947,(chromium-browse),1572839020172,5,9,0,0,1
24951,(chromium-browse),1572839020172,0,1,0,0,1
24983,(chromium-browse),1572839020172,34,17,0,1,1
24991,(chromium-browse),1572839020172,15,11,0,0,1
25038,(chromium-browse),1572839020172,4,4,0,0,1
25044,(chromium-browse),1572839020172,11,8,0,1,1
24937,(chromium-browse),1572839020187,108,65,1,2,15
24947,(chromium-browse),1572839020187,5,9,0,0,15
24951,(chromium-browse),1572839020187,0,1,0,0,15
24983,(chromium-browse),1572839020187,34,17,0,0,15
24991,(chromium-browse),1572839020187,15,11,0,0,15
25038,(chromium-browse),1572839020187,4,4,0,0,15
25044,(chromium-browse),1572839020187,12,8,1,0,15
24937,(chromium-browse),1572839020190,108,65,0,0,3
24947,(chromium-browse),1572839020190,5,9,0,0,3
24951,(chromium-browse),1572839020190,0,1,0,0,3
24983,(chromium-browse),1572839020190,34,17,0,0,3
24991,(chromium-browse),1572839020190,15,11,0,0,3
25038,(chromium-browse),1572839020190,4,4,0,0,3
25044,(chromium-browse),1572839020190,12,8,0,0,3
24937,(chromium-browse),1572839020193,108,65,0,0,3
24947,(chromium-browse),1572839020193,5,9,0,0,3
