pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
25210,(chromium-browse),1572839074682,95,57,95,57,881044346
25220,(chromium-browse),1572839074682,4,10,4,10,881044346
25224,(chromium-browse),1572839074682,0,2,0,2,881044346
25252,(chromium-browse),1572839074682,26,15,26,15,881044346
25257,(chromium-browse),1572839074682,10,13,10,13,881044346
25316,(chromium-browse),1572839074682,5,3,5,3,881044346
25317,(chromium-browse),1572839074682,9,4,9,4,881044346
25346,(chromium-browse),1572839074682,1,4,1,4,881044346
25210,(chromium-browse),1572839074684,95,58,0,1,2
25220,(chromium-browse),1572839074684,4,10,0,0,2
25224,(chromium-browse),1572839074684,0,2,0,0,2
25252,(chromium-browse),1572839074684,26,15,0,0,2
25257,(chromium-browse),1572839074684,11,13,1,0,2
25316,(chromium-browse),1572839074684,5,3,0,0,2
25317,(chromium-browse),1572839074684,9,5,0,1,2
25346,(chromium-browse),1572839074684,1,4,0,0,2
25210,(chromium-browse),1572839074686,95,58,0,0,2
25220,(chromium-browse),1572839074686,4,10,0,0,2
25224,(chromium-browse),1572839074686,0,2,0,0,2
25252,(chromium-browse),1572839074686,26,15,0,0,2
25257,(chromium-browse),1572839074686,11,13,0,0,2
25316,(chromium-browse),1572839074686,5,3,0,0,2
25317,(chromium-browse),1572839074686,9,5,0,0,2
25346,(chromium-browse),1572839074686,2,4,1,0,2
25210,(chromium-browse),1572839074688,96,58,1,0,2
25220,(chromium-browse),1572839074688,4,10,0,0,2
25224,(chromium-browse),1572839074688,0,2,0,0,2
25252,(chromium-browse),1572839074688,26,15,0,0,2
25257,(chromium-browse),1572839074688,11,13,0,0,2
25316,(chromium-browse),1572839074688,5,3,0,0,2
25317,(chromium-browse),1572839074688,9,5,0,0,2
25346,(chromium-browse),1572839074688,2,4,0,0,2
25210,(chromium-browse),1572839074690,96,58,0,0,2
25220,(chromium-browse),1572839074690,4,10,0,0,2
25224,(chromium-browse),1572839074690,0,2,0,0,2
25252,(chromium-browse),1572839074690,26,15,0,0,2
25257,(chromium-browse),1572839074690,11,13,0,0,2
25316,(chromium-browse),1572839074690,5,3,0,0,2
25317,(chromium-browse),1572839074690,9,5,0,0,2
25346,(chromium-browse),1572839074690,2,5,0,1,2
25210,(chromium-browse),1572839074691,96,59,0,1,1
25220,(chromium-browse),1572839074691,4,10,0,0,1
25224,(chromium-browse),1572839074691,0,2,0,0,1
25252,(chromium-browse),1572839074691,26,15,0,0,1
25257,(chromium-browse),1572839074691,11,13,0,0,1
25316,(chromium-browse),1572839074691,5,3,0,0,1
25317,(chromium-browse),1572839074691,9,5,0,0,1
25346,(chromium-browse),1572839074691,2,5,0,0,1
25210,(chromium-browse),1572839074693,96,59,0,0,2
25220,(chromium-browse),1572839074693,4,10,0,0,2
25224,(chromium-browse),1572839074693,0,2,0,0,2
25252,(chromium-browse),1572839074693,26,15,0,0,2
25257,(chromium-browse),1572839074693,11,13,0,0,2
25316,(chromium-browse),1572839074693,5,3,0,0,2
25317,(chromium-browse),1572839074693,9,5,0,0,2
25346,(chromium-browse),1572839074693,2,5,0,0,2
25210,(chromium-browse),1572839074694,96,59,0,0,1
25220,(chromium-browse),1572839074694,4,10,0,0,1
25224,(chromium-browse),1572839074694,0,2,0,0,1
25252,(chromium-browse),1572839074694,26,15,0,0,1
25257,(chromium-browse),1572839074694,11,13,0,0,1
25316,(chromium-browse),1572839074694,5,3,0,0,1
25317,(chromium-browse),1572839074694,9,5,0,0,1
25346,(chromium-browse),1572839074694,2,5,0,0,1
25210,(chromium-browse),1572839074695,97,59,1,0,1
25220,(chromium-browse),1572839074695,4,10,0,0,1
25224,(chromium-browse),1572839074695,0,2,0,0,1
25252,(chromium-browse),1572839074695,26,15,0,0,1
25257,(chromium-browse),1572839074695,11,13,0,0,1
