pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
20624,(chromium-browse),1573226417493,3,3,3,3,1268387157
20626,(ThreadPoolServi),1573226417493,0,0,0,0,1268387157
20627,(ThreadPoolForeg),1573226417493,0,0,0,0,1268387157
20628,(Chrome_ChildIOT),1573226417493,0,1,0,1,1268387157
20629,(GpuMemoryThread),1573226417493,0,0,0,0,1268387157
20630,(ThreadPoolForeg),1573226417493,0,0,0,0,1268387157
20637,(Compositor),1573226417493,0,0,0,0,1268387157
20638,(CompositorTileW),1573226417493,0,0,0,0,1268387157
20639,(CompositorTileW),1573226417493,0,0,0,0,1268387157
20640,(CompositorTileW),1573226417493,0,0,0,0,1268387157
20641,(CompositorTileW),1573226417493,0,0,0,0,1268387157
20642,(CompositorTileW),1573226417493,0,0,0,0,1268387157
20624,(chromium-browse),1573226417495,3,3,0,0,2
20626,(ThreadPoolServi),1573226417495,0,0,0,0,2
20627,(ThreadPoolForeg),1573226417495,0,0,0,0,2
20628,(Chrome_ChildIOT),1573226417495,0,1,0,0,2
20629,(GpuMemoryThread),1573226417495,0,0,0,0,2
20630,(ThreadPoolForeg),1573226417495,0,0,0,0,2
20637,(Compositor),1573226417495,0,0,0,0,2
20638,(CompositorTileW),1573226417495,0,0,0,0,2
20639,(CompositorTileW),1573226417495,0,0,0,0,2
20640,(CompositorTileW),1573226417495,0,0,0,0,2
20641,(CompositorTileW),1573226417495,0,0,0,0,2
20642,(CompositorTileW),1573226417495,0,0,0,0,2
20624,(chromium-browse),1573226417496,3,3,0,0,1
20626,(ThreadPoolServi),1573226417496,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417496,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417496,0,1,0,0,1
20629,(GpuMemoryThread),1573226417496,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417496,0,0,0,0,1
20637,(Compositor),1573226417496,0,0,0,0,1
20638,(CompositorTileW),1573226417496,0,0,0,0,1
20639,(CompositorTileW),1573226417496,0,0,0,0,1
20640,(CompositorTileW),1573226417496,0,0,0,0,1
20641,(CompositorTileW),1573226417496,0,0,0,0,1
20642,(CompositorTileW),1573226417496,0,0,0,0,1
20624,(chromium-browse),1573226417497,3,3,0,0,1
20626,(ThreadPoolServi),1573226417497,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417497,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417497,0,1,0,0,1
20629,(GpuMemoryThread),1573226417497,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417497,0,0,0,0,1
20637,(Compositor),1573226417497,0,0,0,0,1
20638,(CompositorTileW),1573226417497,0,0,0,0,1
20639,(CompositorTileW),1573226417497,0,0,0,0,1
20640,(CompositorTileW),1573226417497,0,0,0,0,1
20641,(CompositorTileW),1573226417497,0,0,0,0,1
20642,(CompositorTileW),1573226417497,0,0,0,0,1
20624,(chromium-browse),1573226417498,3,3,0,0,1
20626,(ThreadPoolServi),1573226417498,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417498,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417498,0,1,0,0,1
20629,(GpuMemoryThread),1573226417498,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417498,0,0,0,0,1
20637,(Compositor),1573226417498,0,0,0,0,1
20638,(CompositorTileW),1573226417498,0,0,0,0,1
20639,(CompositorTileW),1573226417498,0,0,0,0,1
20640,(CompositorTileW),1573226417498,0,0,0,0,1
20641,(CompositorTileW),1573226417498,0,0,0,0,1
20642,(CompositorTileW),1573226417498,0,0,0,0,1
20624,(chromium-browse),1573226417500,3,3,0,0,2
20626,(ThreadPoolServi),1573226417500,0,0,0,0,2
20627,(ThreadPoolForeg),1573226417500,0,0,0,0,2
20628,(Chrome_ChildIOT),1573226417500,0,1,0,0,2
20629,(GpuMemoryThread),1573226417500,0,0,0,0,2
20630,(ThreadPoolForeg),1573226417500,0,0,0,0,2
20637,(Compositor),1573226417500,0,0,0,0,2
20638,(CompositorTileW),1573226417500,0,0,0,0,2
20639,(CompositorTileW),1573226417500,0,0,0,0,2
20640,(CompositorTileW),1573226417500,0,0,0,0,2
20641,(CompositorTileW),1573226417500,0,0,0,0,2
20642,(CompositorTileW),1573226417500,0,0,0,0,2
20624,(chromium-browse),1573226417501,3,3,0,0,1
20626,(ThreadPoolServi),1573226417501,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417501,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417501,0,1,0,0,1
20629,(GpuMemoryThread),1573226417501,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417501,0,0,0,0,1
20637,(Compositor),1573226417501,0,0,0,0,1
20638,(CompositorTileW),1573226417501,0,0,0,0,1
20639,(CompositorTileW),1573226417501,0,0,0,0,1
20640,(CompositorTileW),1573226417501,0,0,0,0,1
20641,(CompositorTileW),1573226417501,0,0,0,0,1
20642,(CompositorTileW),1573226417501,0,0,0,0,1
20624,(chromium-browse),1573226417502,3,3,0,0,1
20626,(ThreadPoolServi),1573226417502,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417502,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417502,0,1,0,0,1
20629,(GpuMemoryThread),1573226417502,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417502,0,0,0,0,1
20637,(Compositor),1573226417502,0,0,0,0,1
20638,(CompositorTileW),1573226417502,0,0,0,0,1
20639,(CompositorTileW),1573226417502,0,0,0,0,1
20640,(CompositorTileW),1573226417502,0,0,0,0,1
20641,(CompositorTileW),1573226417502,0,0,0,0,1
20642,(CompositorTileW),1573226417502,0,0,0,0,1
20624,(chromium-browse),1573226417504,3,3,0,0,2
20626,(ThreadPoolServi),1573226417504,0,0,0,0,2
20627,(ThreadPoolForeg),1573226417504,0,0,0,0,2
20628,(Chrome_ChildIOT),1573226417504,0,1,0,0,2
20629,(GpuMemoryThread),1573226417504,0,0,0,0,2
20630,(ThreadPoolForeg),1573226417504,0,0,0,0,2
20637,(Compositor),1573226417504,0,0,0,0,2
20638,(CompositorTileW),1573226417504,0,0,0,0,2
20639,(CompositorTileW),1573226417504,0,0,0,0,2
20640,(CompositorTileW),1573226417504,0,0,0,0,2
20641,(CompositorTileW),1573226417504,0,0,0,0,2
20642,(CompositorTileW),1573226417504,0,0,0,0,2
20624,(chromium-browse),1573226417505,3,3,0,0,1
20626,(ThreadPoolServi),1573226417505,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417505,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417505,0,1,0,0,1
20629,(GpuMemoryThread),1573226417505,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417505,0,0,0,0,1
20637,(Compositor),1573226417505,0,0,0,0,1
20638,(CompositorTileW),1573226417505,0,0,0,0,1
20639,(CompositorTileW),1573226417505,0,0,0,0,1
20640,(CompositorTileW),1573226417505,0,0,0,0,1
20641,(CompositorTileW),1573226417505,0,0,0,0,1
20642,(CompositorTileW),1573226417505,0,0,0,0,1
20624,(chromium-browse),1573226417507,3,3,0,0,2
20626,(ThreadPoolServi),1573226417507,0,0,0,0,2
20627,(ThreadPoolForeg),1573226417507,0,0,0,0,2
20628,(Chrome_ChildIOT),1573226417507,0,1,0,0,2
20629,(GpuMemoryThread),1573226417507,0,0,0,0,2
20630,(ThreadPoolForeg),1573226417507,0,0,0,0,2
20637,(Compositor),1573226417507,0,0,0,0,2
20638,(CompositorTileW),1573226417507,0,0,0,0,2
20639,(CompositorTileW),1573226417507,0,0,0,0,2
20640,(CompositorTileW),1573226417507,0,0,0,0,2
20641,(CompositorTileW),1573226417507,0,0,0,0,2
20642,(CompositorTileW),1573226417507,0,0,0,0,2
20624,(chromium-browse),1573226417508,3,3,0,0,1
20626,(ThreadPoolServi),1573226417508,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417508,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417508,0,1,0,0,1
20629,(GpuMemoryThread),1573226417508,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417508,0,0,0,0,1
20637,(Compositor),1573226417508,0,0,0,0,1
20638,(CompositorTileW),1573226417508,0,0,0,0,1
20639,(CompositorTileW),1573226417508,0,0,0,0,1
20640,(CompositorTileW),1573226417508,0,0,0,0,1
20641,(CompositorTileW),1573226417508,0,0,0,0,1
20642,(CompositorTileW),1573226417508,0,0,0,0,1
20624,(chromium-browse),1573226417509,3,3,0,0,1
20626,(ThreadPoolServi),1573226417509,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417509,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417509,0,1,0,0,1
20629,(GpuMemoryThread),1573226417509,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417509,0,0,0,0,1
20637,(Compositor),1573226417509,0,0,0,0,1
20638,(CompositorTileW),1573226417509,0,0,0,0,1
20639,(CompositorTileW),1573226417509,0,0,0,0,1
20640,(CompositorTileW),1573226417509,0,0,0,0,1
20641,(CompositorTileW),1573226417509,0,0,0,0,1
20642,(CompositorTileW),1573226417509,0,0,0,0,1
20624,(chromium-browse),1573226417510,3,3,0,0,1
20626,(ThreadPoolServi),1573226417510,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417510,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417510,0,1,0,0,1
20629,(GpuMemoryThread),1573226417510,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417510,0,0,0,0,1
20637,(Compositor),1573226417510,0,0,0,0,1
20638,(CompositorTileW),1573226417510,0,0,0,0,1
20639,(CompositorTileW),1573226417510,0,0,0,0,1
20640,(CompositorTileW),1573226417510,0,0,0,0,1
20641,(CompositorTileW),1573226417510,0,0,0,0,1
20642,(CompositorTileW),1573226417510,0,0,0,0,1
20624,(chromium-browse),1573226417511,3,3,0,0,1
20626,(ThreadPoolServi),1573226417511,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417511,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417511,0,1,0,0,1
20629,(GpuMemoryThread),1573226417511,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417511,0,0,0,0,1
20637,(Compositor),1573226417511,0,0,0,0,1
20638,(CompositorTileW),1573226417511,0,0,0,0,1
20639,(CompositorTileW),1573226417511,0,0,0,0,1
20640,(CompositorTileW),1573226417511,0,0,0,0,1
20641,(CompositorTileW),1573226417511,0,0,0,0,1
20642,(CompositorTileW),1573226417511,0,0,0,0,1
20624,(chromium-browse),1573226417512,3,3,0,0,1
20626,(ThreadPoolServi),1573226417512,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417512,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417512,0,1,0,0,1
20629,(GpuMemoryThread),1573226417512,0,0,0,0,1
20630,(ThreadPoolForeg),1573226417512,0,0,0,0,1
20637,(Compositor),1573226417512,0,0,0,0,1
20638,(CompositorTileW),1573226417512,0,0,0,0,1
20639,(CompositorTileW),1573226417512,0,0,0,0,1
20640,(CompositorTileW),1573226417512,0,0,0,0,1
20641,(CompositorTileW),1573226417512,0,0,0,0,1
20642,(CompositorTileW),1573226417512,0,0,0,0,1
20624,(chromium-browse),1573226417513,3,3,0,0,1
20626,(ThreadPoolServi),1573226417513,0,0,0,0,1
20627,(ThreadPoolForeg),1573226417513,0,0,0,0,1
20628,(Chrome_ChildIOT),1573226417513,0,1,0,0,1
