pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
25518,(chromium-browse),1572839139633,95,53,95,53,881109297
25528,(chromium-browse),1572839139633,5,7,5,7,881109297
25532,(chromium-browse),1572839139633,0,1,0,1,881109297
25560,(chromium-browse),1572839139633,23,20,23,20,881109297
25565,(chromium-browse),1572839139633,12,14,12,14,881109297
25624,(chromium-browse),1572839139633,5,3,5,3,881109297
25625,(chromium-browse),1572839139633,7,9,7,9,881109297
25518,(chromium-browse),1572839139635,95,53,0,0,2
25528,(chromium-browse),1572839139635,5,7,0,0,2
25532,(chromium-browse),1572839139635,0,1,0,0,2
25560,(chromium-browse),1572839139635,23,20,0,0,2
25565,(chromium-browse),1572839139635,12,14,0,0,2
25624,(chromium-browse),1572839139635,5,3,0,0,2
25625,(chromium-browse),1572839139635,7,9,0,0,2
25518,(chromium-browse),1572839139636,95,53,0,0,1
25528,(chromium-browse),1572839139636,5,7,0,0,1
25532,(chromium-browse),1572839139636,0,1,0,0,1
25560,(chromium-browse),1572839139636,23,20,0,0,1
25565,(chromium-browse),1572839139636,13,14,1,0,1
25624,(chromium-browse),1572839139636,5,3,0,0,1
25625,(chromium-browse),1572839139636,7,9,0,0,1
25518,(chromium-browse),1572839139637,95,53,0,0,1
25528,(chromium-browse),1572839139637,5,7,0,0,1
25532,(chromium-browse),1572839139637,0,1,0,0,1
25560,(chromium-browse),1572839139637,23,20,0,0,1
25565,(chromium-browse),1572839139637,13,14,0,0,1
25624,(chromium-browse),1572839139637,5,3,0,0,1
25625,(chromium-browse),1572839139637,7,9,0,0,1
25518,(chromium-browse),1572839139638,95,54,0,1,1
25528,(chromium-browse),1572839139638,5,7,0,0,1
25532,(chromium-browse),1572839139638,0,1,0,0,1
25560,(chromium-browse),1572839139638,23,20,0,0,1
25565,(chromium-browse),1572839139638,13,14,0,0,1
25624,(chromium-browse),1572839139638,5,3,0,0,1
25625,(chromium-browse),1572839139638,7,9,0,0,1
25518,(chromium-browse),1572839139640,95,54,0,0,2
25528,(chromium-browse),1572839139640,5,7,0,0,2
25532,(chromium-browse),1572839139640,0,1,0,0,2
25560,(chromium-browse),1572839139640,23,20,0,0,2
25565,(chromium-browse),1572839139640,13,14,0,0,2
25624,(chromium-browse),1572839139640,5,3,0,0,2
25625,(chromium-browse),1572839139640,7,9,0,0,2
25518,(chromium-browse),1572839139647,96,55,1,1,7
25528,(chromium-browse),1572839139647,5,7,0,0,7
25532,(chromium-browse),1572839139647,0,1,0,0,7
25560,(chromium-browse),1572839139647,23,20,0,0,7
25565,(chromium-browse),1572839139647,13,14,0,0,7
25624,(chromium-browse),1572839139647,5,3,0,0,7
25625,(chromium-browse),1572839139647,7,9,0,0,7
25518,(chromium-browse),1572839139652,97,55,1,0,5
25528,(chromium-browse),1572839139652,5,7,0,0,5
25532,(chromium-browse),1572839139652,0,1,0,0,5
25560,(chromium-browse),1572839139652,23,20,0,0,5
25565,(chromium-browse),1572839139652,13,14,0,0,5
25624,(chromium-browse),1572839139652,5,3,0,0,5
25625,(chromium-browse),1572839139652,7,9,0,0,5
25518,(chromium-browse),1572839139654,97,55,0,0,2
25528,(chromium-browse),1572839139654,5,7,0,0,2
25532,(chromium-browse),1572839139654,0,1,0,0,2
25560,(chromium-browse),1572839139654,23,20,0,0,2
25565,(chromium-browse),1572839139654,13,14,0,0,2
25624,(chromium-browse),1572839139654,5,3,0,0,2
25625,(chromium-browse),1572839139654,7,9,0,0,2
25518,(chromium-browse),1572839139656,97,55,0,0,2
25528,(chromium-browse),1572839139656,5,7,0,0,2
25532,(chromium-browse),1572839139656,0,1,0,0,2
25560,(chromium-browse),1572839139656,23,20,0,0,2
25565,(chromium-browse),1572839139656,13,14,0,0,2
25624,(chromium-browse),1572839139656,5,3,0,0,2
25625,(chromium-browse),1572839139656,7,9,0,0,2
25518,(chromium-browse),1572839139658,97,55,0,0,2
25528,(chromium-browse),1572839139658,5,7,0,0,2
25532,(chromium-browse),1572839139658,0,1,0,0,2
25560,(chromium-browse),1572839139658,23,20,0,0,2
25565,(chromium-browse),1572839139658,13,14,0,0,2
25624,(chromium-browse),1572839139658,5,3,0,0,2
25625,(chromium-browse),1572839139658,7,9,0,0,2
