pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
20312,(chromium-browse),1573226324869,4,2,4,2,1268294533
20314,(ThreadPoolServi),1573226324869,0,0,0,0,1268294533
20315,(ThreadPoolForeg),1573226324869,0,0,0,0,1268294533
20316,(Chrome_ChildIOT),1573226324869,0,1,0,1,1268294533
20317,(GpuMemoryThread),1573226324869,0,0,0,0,1268294533
20318,(ThreadPoolForeg),1573226324869,0,0,0,0,1268294533
20325,(Compositor),1573226324869,0,0,0,0,1268294533
20326,(CompositorTileW),1573226324869,0,0,0,0,1268294533
20327,(CompositorTileW),1573226324869,0,0,0,0,1268294533
20328,(CompositorTileW),1573226324869,0,0,0,0,1268294533
20329,(CompositorTileW),1573226324869,0,0,0,0,1268294533
20330,(CompositorTileW),1573226324869,0,0,0,0,1268294533
20312,(chromium-browse),1573226324871,4,2,0,0,2
20314,(ThreadPoolServi),1573226324871,0,0,0,0,2
20315,(ThreadPoolForeg),1573226324871,0,0,0,0,2
20316,(Chrome_ChildIOT),1573226324871,0,1,0,0,2
20317,(GpuMemoryThread),1573226324871,0,0,0,0,2
20318,(ThreadPoolForeg),1573226324871,0,0,0,0,2
20325,(Compositor),1573226324871,0,0,0,0,2
20326,(CompositorTileW),1573226324871,0,0,0,0,2
20327,(CompositorTileW),1573226324871,0,0,0,0,2
20328,(CompositorTileW),1573226324871,0,0,0,0,2
20329,(CompositorTileW),1573226324871,0,0,0,0,2
20330,(CompositorTileW),1573226324871,0,0,0,0,2
20312,(chromium-browse),1573226324873,4,2,0,0,2
20314,(ThreadPoolServi),1573226324873,0,0,0,0,2
20315,(ThreadPoolForeg),1573226324873,0,0,0,0,2
20316,(Chrome_ChildIOT),1573226324873,0,1,0,0,2
20317,(GpuMemoryThread),1573226324873,0,0,0,0,2
20318,(ThreadPoolForeg),1573226324873,0,0,0,0,2
20325,(Compositor),1573226324873,0,0,0,0,2
20326,(CompositorTileW),1573226324873,0,0,0,0,2
20327,(CompositorTileW),1573226324873,0,0,0,0,2
20328,(CompositorTileW),1573226324873,0,0,0,0,2
20329,(CompositorTileW),1573226324873,0,0,0,0,2
20330,(CompositorTileW),1573226324873,0,0,0,0,2
20312,(chromium-browse),1573226324874,4,2,0,0,1
20314,(ThreadPoolServi),1573226324874,0,0,0,0,1
20315,(ThreadPoolForeg),1573226324874,0,0,0,0,1
20316,(Chrome_ChildIOT),1573226324874,0,1,0,0,1
20317,(GpuMemoryThread),1573226324874,0,0,0,0,1
20318,(ThreadPoolForeg),1573226324874,0,0,0,0,1
20325,(Compositor),1573226324874,0,0,0,0,1
