pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
25803,(chromium-browse),1572839203106,101,59,101,59,881172770
25814,(chromium-browse),1572839203106,4,9,4,9,881172770
25818,(chromium-browse),1572839203106,0,1,0,1,881172770
25846,(chromium-browse),1572839203106,27,18,27,18,881172770
25850,(chromium-browse),1572839203106,14,13,14,13,881172770
25910,(chromium-browse),1572839203106,4,4,4,4,881172770
25911,(chromium-browse),1572839203106,11,7,11,7,881172770
25938,(chromium-browse),1572839203106,7,6,7,6,881172770
25803,(chromium-browse),1572839203108,101,59,0,0,2
25814,(chromium-browse),1572839203108,4,9,0,0,2
25818,(chromium-browse),1572839203108,0,1,0,0,2
25846,(chromium-browse),1572839203108,27,18,0,0,2
25850,(chromium-browse),1572839203108,14,13,0,0,2
25910,(chromium-browse),1572839203108,4,4,0,0,2
25911,(chromium-browse),1572839203108,11,7,0,0,2
25938,(chromium-browse),1572839203108,7,6,0,0,2
25803,(chromium-browse),1572839203110,101,59,0,0,2
25814,(chromium-browse),1572839203110,4,9,0,0,2
25818,(chromium-browse),1572839203110,0,1,0,0,2
25846,(chromium-browse),1572839203110,27,18,0,0,2
25850,(chromium-browse),1572839203110,14,13,0,0,2
25910,(chromium-browse),1572839203110,4,4,0,0,2
25911,(chromium-browse),1572839203110,11,7,0,0,2
25938,(chromium-browse),1572839203110,7,6,0,0,2
25803,(chromium-browse),1572839203111,102,59,1,0,1
25814,(chromium-browse),1572839203111,4,9,0,0,1
25818,(chromium-browse),1572839203111,0,1,0,0,1
25846,(chromium-browse),1572839203111,27,18,0,0,1
25850,(chromium-browse),1572839203111,14,13,0,0,1
25910,(chromium-browse),1572839203111,4,4,0,0,1
25911,(chromium-browse),1572839203111,11,7,0,0,1
25938,(chromium-browse),1572839203111,7,6,0,0,1
25803,(chromium-browse),1572839203112,102,59,0,0,1
25814,(chromium-browse),1572839203112,4,9,0,0,1
25818,(chromium-browse),1572839203112,0,1,0,0,1
25846,(chromium-browse),1572839203112,27,18,0,0,1
25850,(chromium-browse),1572839203112,14,13,0,0,1
25910,(chromium-browse),1572839203112,4,4,0,0,1
25911,(chromium-browse),1572839203112,11,7,0,0,1
25938,(chromium-browse),1572839203112,8,6,1,0,1
25803,(chromium-browse),1572839203114,102,59,0,0,2
