pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
19992,(chromium-browse),1573226101050,2,3,2,3,1268070714
19994,(ThreadPoolServi),1573226101050,0,0,0,0,1268070714
19995,(ThreadPoolForeg),1573226101050,0,0,0,0,1268070714
19996,(Chrome_ChildIOT),1573226101050,0,0,0,0,1268070714
19997,(GpuMemoryThread),1573226101050,0,0,0,0,1268070714
19998,(ThreadPoolForeg),1573226101050,0,0,0,0,1268070714
20009,(Compositor),1573226101050,0,0,0,0,1268070714
20010,(CompositorTileW),1573226101050,0,0,0,0,1268070714
20011,(CompositorTileW),1573226101050,0,0,0,0,1268070714
20012,(CompositorTileW),1573226101050,0,0,0,0,1268070714
20013,(CompositorTileW),1573226101050,0,0,0,0,1268070714
20014,(CompositorTileW),1573226101050,0,0,0,0,1268070714
19992,(chromium-browse),1573226101052,2,3,0,0,2
19994,(ThreadPoolServi),1573226101052,0,0,0,0,2
19995,(ThreadPoolForeg),1573226101052,0,0,0,0,2
19996,(Chrome_ChildIOT),1573226101052,0,0,0,0,2
19997,(GpuMemoryThread),1573226101052,0,0,0,0,2
19998,(ThreadPoolForeg),1573226101052,0,0,0,0,2
20009,(Compositor),1573226101052,0,0,0,0,2
20010,(CompositorTileW),1573226101052,0,0,0,0,2
20011,(CompositorTileW),1573226101052,0,0,0,0,2
20012,(CompositorTileW),1573226101052,0,0,0,0,2
20013,(CompositorTileW),1573226101052,0,0,0,0,2
20014,(CompositorTileW),1573226101052,0,0,0,0,2
19992,(chromium-browse),1573226101053,2,3,0,0,1
19994,(ThreadPoolServi),1573226101053,0,0,0,0,1
19995,(ThreadPoolForeg),1573226101053,0,0,0,0,1
19996,(Chrome_ChildIOT),1573226101053,0,0,0,0,1
19997,(GpuMemoryThread),1573226101053,0,0,0,0,1
19998,(ThreadPoolForeg),1573226101053,0,0,0,0,1
20009,(Compositor),1573226101053,0,0,0,0,1
20010,(CompositorTileW),1573226101053,0,0,0,0,1
20011,(CompositorTileW),1573226101053,0,0,0,0,1
20012,(CompositorTileW),1573226101053,0,0,0,0,1
20013,(CompositorTileW),1573226101053,0,0,0,0,1
20014,(CompositorTileW),1573226101053,0,0,0,0,1
19992,(chromium-browse),1573226101055,2,3,0,0,2
19994,(ThreadPoolServi),1573226101055,0,0,0,0,2
19995,(ThreadPoolForeg),1573226101055,0,0,0,0,2
19996,(Chrome_ChildIOT),1573226101055,0,0,0,0,2
19997,(GpuMemoryThread),1573226101055,0,0,0,0,2
19998,(ThreadPoolForeg),1573226101055,0,0,0,0,2
20009,(Compositor),1573226101055,0,0,0,0,2
20010,(CompositorTileW),1573226101055,0,0,0,0,2
20011,(CompositorTileW),1573226101055,0,0,0,0,2
20012,(CompositorTileW),1573226101055,0,0,0,0,2
20013,(CompositorTileW),1573226101055,0,0,0,0,2
20014,(CompositorTileW),1573226101055,0,0,0,0,2
19992,(chromium-browse),1573226101056,2,3,0,0,1
19994,(ThreadPoolServi),1573226101056,0,0,0,0,1
19995,(ThreadPoolForeg),1573226101056,0,0,0,0,1
19996,(Chrome_ChildIOT),1573226101056,0,1,0,1,1
19997,(GpuMemoryThread),1573226101056,0,0,0,0,1
19998,(ThreadPoolForeg),1573226101056,0,0,0,0,1
20009,(Compositor),1573226101056,0,0,0,0,1
20010,(CompositorTileW),1573226101056,0,0,0,0,1
20011,(CompositorTileW),1573226101056,0,0,0,0,1
20012,(CompositorTileW),1573226101056,0,0,0,0,1
20013,(CompositorTileW),1573226101056,0,0,0,0,1
20014,(CompositorTileW),1573226101056,0,0,0,0,1
19992,(chromium-browse),1573226101057,2,3,0,0,1
19994,(ThreadPoolServi),1573226101057,0,0,0,0,1
19995,(ThreadPoolForeg),1573226101057,0,0,0,0,1
19996,(Chrome_ChildIOT),1573226101057,0,1,0,0,1
19997,(GpuMemoryThread),1573226101057,0,0,0,0,1
19998,(ThreadPoolForeg),1573226101057,0,0,0,0,1
20009,(Compositor),1573226101057,0,0,0,0,1
20010,(CompositorTileW),1573226101057,0,0,0,0,1
20011,(CompositorTileW),1573226101057,0,0,0,0,1
20012,(CompositorTileW),1573226101057,0,0,0,0,1
20013,(CompositorTileW),1573226101057,0,0,0,0,1
20014,(CompositorTileW),1573226101057,0,0,0,0,1
19992,(chromium-browse),1573226101058,2,3,0,0,1
19994,(ThreadPoolServi),1573226101058,0,0,0,0,1
19995,(ThreadPoolForeg),1573226101058,0,0,0,0,1
19996,(Chrome_ChildIOT),1573226101058,0,1,0,0,1
19997,(GpuMemoryThread),1573226101058,0,0,0,0,1
19998,(ThreadPoolForeg),1573226101058,0,0,0,0,1
20009,(Compositor),1573226101058,0,0,0,0,1
20010,(CompositorTileW),1573226101058,0,0,0,0,1
20011,(CompositorTileW),1573226101058,0,0,0,0,1
20012,(CompositorTileW),1573226101058,0,0,0,0,1
20013,(CompositorTileW),1573226101058,0,0,0,0,1
20014,(CompositorTileW),1573226101058,0,0,0,0,1
19992,(chromium-browse),1573226101059,2,3,0,0,1
19994,(ThreadPoolServi),1573226101059,0,0,0,0,1
19995,(ThreadPoolForeg),1573226101059,0,0,0,0,1
19996,(Chrome_ChildIOT),1573226101059,0,1,0,0,1
19997,(GpuMemoryThread),1573226101059,0,0,0,0,1
19998,(ThreadPoolForeg),1573226101059,0,0,0,0,1
20009,(Compositor),1573226101059,0,0,0,0,1
20010,(CompositorTileW),1573226101059,0,0,0,0,1
20011,(CompositorTileW),1573226101059,0,0,0,0,1
20012,(CompositorTileW),1573226101059,0,0,0,0,1
20013,(CompositorTileW),1573226101059,0,0,0,0,1
20014,(CompositorTileW),1573226101059,0,0,0,0,1
19992,(chromium-browse),1573226101061,3,3,1,0,2
19994,(ThreadPoolServi),1573226101061,0,0,0,0,2
19995,(ThreadPoolForeg),1573226101061,0,0,0,0,2
19996,(Chrome_ChildIOT),1573226101061,0,1,0,0,2
19997,(GpuMemoryThread),1573226101061,0,0,0,0,2
19998,(ThreadPoolForeg),1573226101061,0,0,0,0,2
20009,(Compositor),1573226101061,0,0,0,0,2
20010,(CompositorTileW),1573226101061,0,0,0,0,2
20011,(CompositorTileW),1573226101061,0,0,0,0,2
20012,(CompositorTileW),1573226101061,0,0,0,0,2
20013,(CompositorTileW),1573226101061,0,0,0,0,2
20014,(CompositorTileW),1573226101061,0,0,0,0,2
19992,(chromium-browse),1573226101062,3,3,0,0,1
19994,(ThreadPoolServi),1573226101062,0,0,0,0,1
19995,(ThreadPoolForeg),1573226101062,0,0,0,0,1
19996,(Chrome_ChildIOT),1573226101062,0,1,0,0,1
19997,(GpuMemoryThread),1573226101062,0,0,0,0,1
19998,(ThreadPoolForeg),1573226101062,0,0,0,0,1
20009,(Compositor),1573226101062,0,0,0,0,1
20010,(CompositorTileW),1573226101062,0,0,0,0,1
20011,(CompositorTileW),1573226101062,0,0,0,0,1
20012,(CompositorTileW),1573226101062,0,0,0,0,1
20013,(CompositorTileW),1573226101062,0,0,0,0,1
20014,(CompositorTileW),1573226101062,0,0,0,0,1
19992,(chromium-browse),1573226101063,3,3,0,0,1
19994,(ThreadPoolServi),1573226101063,0,0,0,0,1
19995,(ThreadPoolForeg),1573226101063,0,0,0,0,1
19996,(Chrome_ChildIOT),1573226101063,0,1,0,0,1
19997,(GpuMemoryThread),1573226101063,0,0,0,0,1
19998,(ThreadPoolForeg),1573226101063,0,0,0,0,1
20009,(Compositor),1573226101063,0,0,0,0,1
20010,(CompositorTileW),1573226101063,0,0,0,0,1
20011,(CompositorTileW),1573226101063,0,0,0,0,1
20012,(CompositorTileW),1573226101063,0,0,0,0,1
20013,(CompositorTileW),1573226101063,0,0,0,0,1
20014,(CompositorTileW),1573226101063,0,0,0,0,1
19992,(chromium-browse),1573226101065,3,3,0,0,2
19994,(ThreadPoolServi),1573226101065,0,0,0,0,2
19995,(ThreadPoolForeg),1573226101065,0,0,0,0,2
19996,(Chrome_ChildIOT),1573226101065,0,1,0,0,2
19997,(GpuMemoryThread),1573226101065,0,0,0,0,2
19998,(ThreadPoolForeg),1573226101065,0,0,0,0,2
20009,(Compositor),1573226101065,0,0,0,0,2
20010,(CompositorTileW),1573226101065,0,0,0,0,2
20011,(CompositorTileW),1573226101065,0,0,0,0,2
20012,(CompositorTileW),1573226101065,0,0,0,0,2
20013,(CompositorTileW),1573226101065,0,0,0,0,2
20014,(CompositorTileW),1573226101065,0,0,0,0,2
19992,(chromium-browse),1573226101066,3,3,0,0,1
19994,(ThreadPoolServi),1573226101066,0,0,0,0,1
19995,(ThreadPoolForeg),1573226101066,0,0,0,0,1
19996,(Chrome_ChildIOT),1573226101066,0,1,0,0,1
19997,(GpuMemoryThread),1573226101066,0,0,0,0,1
19998,(ThreadPoolForeg),1573226101066,0,0,0,0,1
20009,(Compositor),1573226101066,0,0,0,0,1
20010,(CompositorTileW),1573226101066,0,0,0,0,1
20011,(CompositorTileW),1573226101066,0,0,0,0,1
20012,(CompositorTileW),1573226101066,0,0,0,0,1
20013,(CompositorTileW),1573226101066,0,0,0,0,1
20014,(CompositorTileW),1573226101066,0,0,0,0,1
19992,(chromium-browse),1573226101067,3,3,0,0,1
19994,(ThreadPoolServi),1573226101067,0,0,0,0,1
19995,(ThreadPoolForeg),1573226101067,0,0,0,0,1
19996,(Chrome_ChildIOT),1573226101067,0,1,0,0,1
19997,(GpuMemoryThread),1573226101067,0,0,0,0,1
19998,(ThreadPoolForeg),1573226101067,0,0,0,0,1
20009,(Compositor),1573226101067,0,0,0,0,1
20010,(CompositorTileW),1573226101067,0,0,0,0,1
20011,(CompositorTileW),1573226101067,0,0,0,0,1
20012,(CompositorTileW),1573226101067,0,0,0,0,1
20013,(CompositorTileW),1573226101067,0,0,0,0,1
20014,(CompositorTileW),1573226101067,0,0,0,0,1
