pid,name,timestamp,usertime,kerneltime,utimediff,ktimediff,timechange
26304,(chromium-browse),1572839359177,105,68,105,68,881328841
26316,(chromium-browse),1572839359177,4,10,4,10,881328841
26320,(chromium-browse),1572839359177,0,1,0,1,881328841
26347,(chromium-browse),1572839359177,38,16,38,16,881328841
26352,(chromium-browse),1572839359177,14,15,14,15,881328841
26412,(chromium-browse),1572839359177,5,3,5,3,881328841
26413,(chromium-browse),1572839359177,12,7,12,7,881328841
26439,(chromium-browse),1572839359177,7,6,7,6,881328841
26304,(chromium-browse),1572839359178,105,68,0,0,1
26316,(chromium-browse),1572839359178,4,10,0,0,1
26320,(chromium-browse),1572839359178,0,1,0,0,1
26347,(chromium-browse),1572839359178,38,16,0,0,1
26352,(chromium-browse),1572839359178,14,15,0,0,1
26412,(chromium-browse),1572839359178,5,3,0,0,1
26413,(chromium-browse),1572839359178,12,7,0,0,1
26439,(chromium-browse),1572839359178,7,6,0,0,1
26304,(chromium-browse),1572839359180,105,68,0,0,2
26316,(chromium-browse),1572839359180,4,10,0,0,2
26320,(chromium-browse),1572839359180,0,1,0,0,2
26347,(chromium-browse),1572839359180,38,16,0,0,2
26352,(chromium-browse),1572839359180,14,15,0,0,2
26412,(chromium-browse),1572839359180,5,3,0,0,2
26413,(chromium-browse),1572839359180,12,7,0,0,2
26439,(chromium-browse),1572839359180,7,6,0,0,2
26304,(chromium-browse),1572839359181,105,68,0,0,1
26316,(chromium-browse),1572839359181,4,10,0,0,1
26320,(chromium-browse),1572839359181,0,1,0,0,1
26347,(chromium-browse),1572839359181,38,16,0,0,1
26352,(chromium-browse),1572839359181,14,15,0,0,1
26412,(chromium-browse),1572839359181,5,3,0,0,1
26413,(chromium-browse),1572839359181,12,7,0,0,1
26439,(chromium-browse),1572839359181,8,6,1,0,1
26304,(chromium-browse),1572839359183,105,68,0,0,2
26316,(chromium-browse),1572839359183,4,10,0,0,2
26320,(chromium-browse),1572839359183,0,1,0,0,2
26347,(chromium-browse),1572839359183,38,16,0,0,2
26352,(chromium-browse),1572839359183,14,15,0,0,2
26412,(chromium-browse),1572839359183,5,3,0,0,2
26413,(chromium-browse),1572839359183,13,7,1,0,2
26439,(chromium-browse),1572839359183,8,6,0,0,2
26304,(chromium-browse),1572839359184,105,68,0,0,1
26316,(chromium-browse),1572839359184,4,10,0,0,1
26320,(chromium-browse),1572839359184,0,1,0,0,1
26347,(chromium-browse),1572839359184,38,16,0,0,1
26352,(chromium-browse),1572839359184,14,15,0,0,1
26412,(chromium-browse),1572839359184,5,3,0,0,1
26413,(chromium-browse),1572839359184,13,7,0,0,1
26439,(chromium-browse),1572839359184,8,6,0,0,1
26304,(chromium-browse),1572839359185,105,68,0,0,1
26316,(chromium-browse),1572839359185,4,10,0,0,1
26320,(chromium-browse),1572839359185,0,1,0,0,1
26347,(chromium-browse),1572839359185,38,16,0,0,1
26352,(chromium-browse),1572839359185,14,15,0,0,1
26412,(chromium-browse),1572839359185,5,3,0,0,1
26413,(chromium-browse),1572839359185,13,7,0,0,1
26439,(chromium-browse),1572839359185,8,6,0,0,1
26304,(chromium-browse),1572839359187,106,68,1,0,2
26316,(chromium-browse),1572839359187,4,10,0,0,2
26320,(chromium-browse),1572839359187,0,1,0,0,2
26347,(chromium-browse),1572839359187,38,16,0,0,2
26352,(chromium-browse),1572839359187,14,15,0,0,2
26412,(chromium-browse),1572839359187,5,3,0,0,2
26413,(chromium-browse),1572839359187,13,7,0,0,2
26439,(chromium-browse),1572839359187,8,6,0,0,2
26304,(chromium-browse),1572839359188,106,69,0,1,1
26316,(chromium-browse),1572839359188,4,10,0,0,1
26320,(chromium-browse),1572839359188,0,1,0,0,1
26347,(chromium-browse),1572839359188,38,16,0,0,1
26352,(chromium-browse),1572839359188,14,15,0,0,1
26412,(chromium-browse),1572839359188,5,3,0,0,1
26413,(chromium-browse),1572839359188,13,7,0,0,1
26439,(chromium-browse),1572839359188,8,6,0,0,1
26304,(chromium-browse),1572839359190,106,69,0,0,2
26316,(chromium-browse),1572839359190,4,10,0,0,2
26320,(chromium-browse),1572839359190,0,1,0,0,2
26347,(chromium-browse),1572839359190,38,16,0,0,2
26352,(chromium-browse),1572839359190,14,15,0,0,2
26412,(chromium-browse),1572839359190,5,3,0,0,2
26413,(chromium-browse),1572839359190,13,7,0,0,2
26439,(chromium-browse),1572839359190,8,6,0,0,2
26304,(chromium-browse),1572839359191,107,69,1,0,1
26316,(chromium-browse),1572839359191,4,10,0,0,1
26320,(chromium-browse),1572839359191,0,1,0,0,1
26347,(chromium-browse),1572839359191,38,16,0,0,1
26352,(chromium-browse),1572839359191,14,15,0,0,1
26412,(chromium-browse),1572839359191,5,3,0,0,1
26413,(chromium-browse),1572839359191,13,7,0,0,1
26439,(chromium-browse),1572839359191,9,6,1,0,1
26304,(chromium-browse),1572839359193,107,69,0,0,2
26316,(chromium-browse),1572839359193,4,10,0,0,2
26320,(chromium-browse),1572839359193,0,1,0,0,2
26347,(chromium-browse),1572839359193,38,16,0,0,2
26352,(chromium-browse),1572839359193,14,15,0,0,2
26412,(chromium-browse),1572839359193,5,3,0,0,2
26413,(chromium-browse),1572839359193,14,7,1,0,2
26439,(chromium-browse),1572839359193,9,6,0,0,2
26304,(chromium-browse),1572839359194,108,69,1,0,1
26316,(chromium-browse),1572839359194,4,10,0,0,1
26320,(chromium-browse),1572839359194,0,1,0,0,1
26347,(chromium-browse),1572839359194,38,16,0,0,1
26352,(chromium-browse),1572839359194,14,15,0,0,1
26412,(chromium-browse),1572839359194,5,3,0,0,1
26413,(chromium-browse),1572839359194,14,7,0,0,1
26439,(chromium-browse),1572839359194,9,6,0,0,1
26304,(chromium-browse),1572839359196,108,69,0,0,2
26316,(chromium-browse),1572839359196,4,10,0,0,2
26320,(chromium-browse),1572839359196,0,1,0,0,2
26347,(chromium-browse),1572839359196,38,17,0,1,2
26352,(chromium-browse),1572839359196,14,15,0,0,2
26412,(chromium-browse),1572839359196,5,3,0,0,2
26413,(chromium-browse),1572839359196,14,7,0,0,2
26439,(chromium-browse),1572839359196,9,6,0,0,2
26304,(chromium-browse),1572839359197,108,69,0,0,1
26316,(chromium-browse),1572839359197,4,10,0,0,1
26320,(chromium-browse),1572839359197,0,1,0,0,1
26347,(chromium-browse),1572839359197,38,17,0,0,1
26352,(chromium-browse),1572839359197,14,15,0,0,1
26412,(chromium-browse),1572839359197,5,3,0,0,1
26413,(chromium-browse),1572839359197,14,7,0,0,1
26439,(chromium-browse),1572839359197,9,6,0,0,1
26304,(chromium-browse),1572839359198,108,69,0,0,1
26316,(chromium-browse),1572839359198,4,10,0,0,1
26320,(chromium-browse),1572839359198,0,1,0,0,1
26347,(chromium-browse),1572839359198,38,17,0,0,1
26352,(chromium-browse),1572839359198,14,15,0,0,1
26412,(chromium-browse),1572839359198,5,3,0,0,1
26413,(chromium-browse),1572839359198,14,7,0,0,1
26439,(chromium-browse),1572839359198,9,6,0,0,1
26304,(chromium-browse),1572839359200,109,69,1,0,2
26316,(chromium-browse),1572839359200,4,10,0,0,2
26320,(chromium-browse),1572839359200,0,1,0,0,2
26347,(chromium-browse),1572839359200,38,17,0,0,2
26352,(chromium-browse),1572839359200,14,15,0,0,2
26412,(chromium-browse),1572839359200,5,3,0,0,2
26413,(chromium-browse),1572839359200,14,7,0,0,2
26439,(chromium-browse),1572839359200,9,6,0,0,2
26304,(chromium-browse),1572839359201,109,69,0,0,1
26316,(chromium-browse),1572839359201,4,10,0,0,1
26320,(chromium-browse),1572839359201,0,1,0,0,1
26347,(chromium-browse),1572839359201,38,17,0,0,1
26352,(chromium-browse),1572839359201,14,15,0,0,1
26412,(chromium-browse),1572839359201,5,3,0,0,1
26413,(chromium-browse),1572839359201,14,7,0,0,1
26439,(chromium-browse),1572839359201,9,6,0,0,1
26304,(chromium-browse),1572839359203,110,69,1,0,2
26316,(chromium-browse),1572839359203,4,10,0,0,2
26320,(chromium-browse),1572839359203,0,1,0,0,2
26347,(chromium-browse),1572839359203,38,17,0,0,2
26352,(chromium-browse),1572839359203,14,15,0,0,2
26412,(chromium-browse),1572839359203,5,3,0,0,2
26413,(chromium-browse),1572839359203,14,7,0,0,2
26439,(chromium-browse),1572839359203,9,6,0,0,2
26304,(chromium-browse),1572839359205,110,70,0,1,2
26316,(chromium-browse),1572839359205,4,10,0,0,2
26320,(chromium-browse),1572839359205,0,1,0,0,2
26347,(chromium-browse),1572839359205,38,17,0,0,2
26352,(chromium-browse),1572839359205,14,15,0,0,2
26412,(chromium-browse),1572839359205,5,3,0,0,2
26413,(chromium-browse),1572839359205,14,7,0,0,2
26439,(chromium-browse),1572839359205,9,6,0,0,2
26304,(chromium-browse),1572839359206,110,70,0,0,1
26316,(chromium-browse),1572839359206,4,10,0,0,1
26320,(chromium-browse),1572839359206,0,1,0,0,1
26347,(chromium-browse),1572839359206,38,17,0,0,1
26352,(chromium-browse),1572839359206,14,15,0,0,1
26412,(chromium-browse),1572839359206,5,3,0,0,1
26413,(chromium-browse),1572839359206,14,7,0,0,1
26439,(chromium-browse),1572839359206,9,6,0,0,1
26304,(chromium-browse),1572839359208,111,70,1,0,2
26316,(chromium-browse),1572839359208,4,10,0,0,2
26320,(chromium-browse),1572839359208,0,1,0,0,2
26347,(chromium-browse),1572839359208,38,17,0,0,2
26352,(chromium-browse),1572839359208,14,15,0,0,2
26412,(chromium-browse),1572839359208,5,3,0,0,2
26413,(chromium-browse),1572839359208,14,7,0,0,2
26439,(chromium-browse),1572839359208,9,7,0,1,2
26304,(chromium-browse),1572839359209,111,70,0,0,1
26316,(chromium-browse),1572839359209,4,10,0,0,1
26320,(chromium-browse),1572839359209,0,1,0,0,1
26347,(chromium-browse),1572839359209,38,17,0,0,1
26352,(chromium-browse),1572839359209,14,15,0,0,1
26412,(chromium-browse),1572839359209,5,3,0,0,1
26413,(chromium-browse),1572839359209,14,7,0,0,1
26439,(chromium-browse),1572839359209,9,7,0,0,1
26304,(chromium-browse),1572839359211,111,71,0,1,2
26316,(chromium-browse),1572839359211,4,10,0,0,2
26320,(chromium-browse),1572839359211,0,1,0,0,2
26347,(chromium-browse),1572839359211,38,17,0,0,2
26352,(chromium-browse),1572839359211,14,15,0,0,2
26412,(chromium-browse),1572839359211,5,3,0,0,2
26413,(chromium-browse),1572839359211,14,7,0,0,2
26439,(chromium-browse),1572839359211,9,7,0,0,2
26304,(chromium-browse),1572839359212,111,71,0,0,1
26316,(chromium-browse),1572839359212,4,10,0,0,1
26320,(chromium-browse),1572839359212,0,1,0,0,1
26347,(chromium-browse),1572839359212,38,17,0,0,1
26352,(chromium-browse),1572839359212,14,15,0,0,1
26412,(chromium-browse),1572839359212,5,3,0,0,1
26413,(chromium-browse),1572839359212,14,7,0,0,1
26439,(chromium-browse),1572839359212,9,7,0,0,1
26304,(chromium-browse),1572839359213,111,71,0,0,1
26316,(chromium-browse),1572839359213,4,10,0,0,1
26320,(chromium-browse),1572839359213,0,1,0,0,1
